"","id_sample","id_plot","habitat","gradient","massif","Dispositif"
"1","ANI-21-0816","RIS_1900","Milieu_forestier_RIS","RIS","AlpS","Orchamp"
"2","ANI-21-0827","RIS_2195","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"3","ANI-21-0838","RIS_2340","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"4","ANI-21-0849","RIS_2570","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"5","ANI-21-0860","RIS_2770","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"6","ANI-21-0871","RIS_2890","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"7","ANI-21-0882","TAN_1420","Milieu_forestier_TAN","TAN","AlpN","Orchamp"
"8","ANI-21-0893","TAN_1700","Milieu_forestier_TAN","TAN","AlpN","Orchamp"
"9","ANI-21-0904","TAN_1890","Milieu_ouvert_TAN","TAN","AlpN","Orchamp"
"10","ANI-21-0915","TAN_2100","Milieu_ouvert_TAN","TAN","AlpN","Orchamp"
"11","ANI-21-0948","VCHA_1910","Milieu_forestier_VCHA","VCHA","AlpS","Orchamp"
"12","ANI-21-0959","VCHA_2150","Milieu_ouvert_VCHA","VCHA","AlpS","Orchamp"
"13","ANI-21-0970","VCHA_2330","Milieu_ouvert_VCHA","VCHA","AlpS","Orchamp"
"14","ANI-21-0981","VCHA_2510","Milieu_ouvert_VCHA","VCHA","AlpS","Orchamp"
"15","ANI-22-0001","ARM_1520","Milieu_ouvert_ARM","ARM","AlpN","Orchamp"
"16","ANI-22-0012","ARM_1750","Milieu_ouvert_ARM","ARM","AlpN","Orchamp"
"17","ANI-22-0045","MSB_1370","Milieu_forestier_MSB","MSB","Pyr","Orchamp"
"18","ANI-22-0056","MSB_1420","Milieu_forestier_MSB","MSB","Pyr","Orchamp"
"19","ANI-22-0067","MSB_1890","Milieu_ouvert_MSB","MSB","Pyr","Orchamp"
"20","ANI-22-0078","MSB_2020","Milieu_ouvert_MSB","MSB","Pyr","Orchamp"
"21","ANI-22-0111","PEC_1375","Milieu_forestier_PEC","PEC","AlpN","Orchamp"
"22","ANI-22-0199","VER_1200","Milieu_forestier_VER","VER","Pyr","Orchamp"
"23","ANI-22-0221","VER_1400P","Milieu_ouvert_VER","VER","Pyr","Orchamp"
"24","ANI-22-0232","VER_1800","Milieu_ouvert_VER","VER","Pyr","Orchamp"
"25","ANI-22-0243","VER_2000","Milieu_ouvert_VER","VER","Pyr","Orchamp"
"26","ANI-22-0254","VTN_1130","Milieu_forestier_VTN","VTN","AlpS","Orchamp"
"27","ANI-22-0265","VTN_1340","Milieu_forestier_VTN","VTN","AlpS","Orchamp"
"28","ANI-22-0287","VTN_1675","Milieu_forestier_VTN","VTN","AlpS","Orchamp"
"29","ANI-22-0298","VTN_1860","Milieu_ouvert_VTN","VTN","AlpS","Orchamp"
"30","ANI-21-0817","RIS_1900","Milieu_forestier_RIS","RIS","AlpS","Orchamp"
"31","ANI-21-0828","RIS_2195","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"32","ANI-21-0839","RIS_2340","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"33","ANI-21-0850","RIS_2570","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"34","ANI-21-0861","RIS_2770","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"35","ANI-21-0872","RIS_2890","Milieu_ouvert_RIS","RIS","AlpS","Orchamp"
"36","ANI-21-0883","TAN_1420","Milieu_forestier_TAN","TAN","AlpN","Orchamp"
"37","ANI-21-0894","TAN_1700","Milieu_forestier_TAN","TAN","AlpN","Orchamp"
"38","ANI-21-0916","TAN_2100","Milieu_ouvert_TAN","TAN","AlpN","Orchamp"
