"","site","idsite","idplot","codeplot","idtiers","cd_nom","lb_nom","observateur_1","observateur_2","date"
"1","Argentière",2,31,"ARG_1420","a",79783,"Acer pseudoplatanus","Garraud","Van Es","2017-07-01"
"2","Argentière",2,31,"ARG_1420","a",80591,"Agrostis capillaris","Garraud","Van Es","2017-07-01"
"3","Argentière",2,31,"ARG_1420","a",80988,"Ajuga pyramidalis","Garraud","Van Es","2017-07-01"
"4","Argentière",2,31,"ARG_1420","a",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"5","Argentière",2,31,"ARG_1420","a",87501,"Calluna vulgaris","Garraud","Van Es","2017-07-01"
"6","Argentière",2,31,"ARG_1420","a",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"7","Argentière",2,31,"ARG_1420","a",90359,"Chaerophyllum villarsii","Garraud","Van Es","2017-07-01"
"8","Argentière",2,31,"ARG_1420","a",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"9","Argentière",2,31,"ARG_1420","a",102674,"Hieracium umbrosum","Garraud","Van Es","2017-07-01"
"10","Argentière",2,31,"ARG_1420","a",137438,"Lotus corniculatus subsp. alpinus","Garraud","Van Es","2017-07-01"
"11","Argentière",2,31,"ARG_1420","a",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"12","Argentière",2,31,"ARG_1420","a",109366,"Nardus stricta","Garraud","Van Es","2017-07-01"
"13","Argentière",2,31,"ARG_1420","a",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"14","Argentière",2,31,"ARG_1420","a",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"15","Argentière",2,31,"ARG_1420","a",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"16","Argentière",2,31,"ARG_1420","a",115813,"Prenanthes purpurea","Garraud","Van Es","2017-07-01"
"17","Argentière",2,31,"ARG_1420","a",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"18","Argentière",2,31,"ARG_1420","a",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"19","Argentière",2,31,"ARG_1420","a",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"20","Argentière",2,31,"ARG_1420","a",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"21","Argentière",2,31,"ARG_1420","b",79783,"Acer pseudoplatanus","Garraud","Van Es","2017-07-01"
"22","Argentière",2,31,"ARG_1420","b",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
