"","id_sample","id_plot","Resp"
"1","ANI-21-0543","ARG_1420",2
"2","ANI-21-0544","ARG_1420",2
"3","ANI-21-0545","ARG_1420",1
"4","ANI-21-0546","ARG_1420",1
"5","ANI-21-0547","ARG_1420",3
"6","ANI-21-0549","ARG_1420",2
"7","ANI-21-0550","ARG_1420",1
"8","ANI-21-0552","ARG_1620",3
"9","ANI-21-0553","ARG_1620",2
"10","ANI-21-0554","ARG_1620",3
"11","ANI-21-0556","ARG_1620",3
"12","ANI-21-0557","ARG_1620",2
"13","ANI-21-0558","ARG_1620",4
"14","ANI-21-0559","ARG_1620",1
"15","ANI-21-0562","ARG_1620",1
"16","ANI-21-0563","ARG_1790",3
"17","ANI-21-0564","ARG_1790",4
"18","ANI-21-0565","ARG_1790",2
"19","ANI-21-0566","ARG_1790",1
"20","ANI-21-0567","ARG_1790",4
"21","ANI-21-0568","ARG_1790",5
"22","ANI-21-0570","ARG_1790",3
"23","ANI-21-0572","ARG_1790",1
"24","ANI-21-0573","ARG_1790",2
"25","ANI-21-0574","ARG_2000",3
"26","ANI-21-0575","ARG_2000",3
"27","ANI-21-0576","ARG_2000",4
"28","ANI-21-0577","ARG_2000",6
"29","ANI-21-0578","ARG_2000",1
"30","ANI-21-0579","ARG_2000",1
"31","ANI-21-0580","ARG_2000",2
"32","ANI-21-0581","ARG_2000",3
"33","ANI-21-0582","ARG_2000",2
"34","ANI-21-0583","ARG_2000",1
"35","ANI-21-0584","ARG_2000",1
"36","ANI-21-0585","ARG_2230",4
"37","ANI-21-0586","ARG_2230",3
"38","ANI-21-0588","ARG_2230",2
"39","ANI-21-0589","ARG_2230",5
"40","ANI-21-0590","ARG_2230",5
"41","ANI-21-0596","ARG_2400",4
"42","ANI-21-0597","ARG_2400",9
"43","ANI-21-0598","ARG_2400",4
"44","ANI-21-0599","ARG_2400",4
"45","ANI-21-0600","ARG_2400",7
"46","ANI-21-0601","ARG_2400",3
"47","ANI-21-0607","BOU_1240",6
"48","ANI-21-0608","BOU_1240",4
"49","ANI-21-0609","BOU_1240",5
"50","ANI-21-0610","BOU_1240",5
"51","ANI-21-0611","BOU_1240",5
"52","ANI-21-0612","BOU_1240",5
"53","ANI-21-0614","BOU_1240",1
"54","ANI-21-0615","BOU_1240",1
"55","ANI-21-0616","BOU_1240",4
"56","ANI-21-0617","BOU_1240",1
"57","ANI-21-0618","BOU_1440",5
"58","ANI-21-0619","BOU_1440",5
"59","ANI-21-0620","BOU_1440",1
"60","ANI-21-0621","BOU_1440",6
"61","ANI-21-0622","BOU_1440",2
"62","ANI-21-0623","BOU_1440",3
"63","ANI-21-0624","BOU_1440",3
"64","ANI-21-0625","BOU_1440",2
"65","ANI-21-0627","BOU_1440",1
"66","ANI-21-0628","BOU_1440",1
"67","ANI-21-0629","BOU_1620",1
"68","ANI-21-0630","BOU_1620",1
"69","ANI-21-0631","BOU_1620",1
"70","ANI-21-0632","BOU_1620",2
"71","ANI-21-0633","BOU_1620",1
"72","ANI-21-0634","BOU_1620",1
"73","ANI-21-0638","BOU_1620",2
"74","ANI-21-0640","BOU_1830",1
"75","ANI-21-0641","BOU_1830",1
"76","ANI-21-0643","BOU_1830",2
"77","ANI-21-0644","BOU_1830",5
"78","ANI-21-0650","BOU_1830",1
"79","ANI-21-0651","BOU_2000",2
"80","ANI-21-0652","BOU_2000",4
"81","ANI-21-0654","BOU_2000",3
"82","ANI-21-0655","BOU_2000",1
"83","ANI-21-0662","CAU_1220",3
"84","ANI-21-0664","CAU_1220",4
"85","ANI-21-0665","CAU_1220",2
"86","ANI-21-0666","CAU_1220",4
"87","ANI-21-0667","CAU_1220",1
"88","ANI-21-0668","CAU_1220",7
"89","ANI-21-0669","CAU_1220",2
"90","ANI-21-0670","CAU_1220",1
"91","ANI-21-0671","CAU_1220",2
"92","ANI-21-0672","CAU_1220",1
"93","ANI-21-0673","CAU_1400",2
"94","ANI-21-0675","CAU_1400",5
"95","ANI-21-0676","CAU_1400",4
"96","ANI-21-0678","CAU_1400",4
"97","ANI-21-0679","CAU_1400",4
"98","ANI-21-0680","CAU_1400",2
"99","ANI-21-0681","CAU_1400",1
"100","ANI-21-0683","CAU_1400",3
"101","ANI-21-0684","CAU_1630",2
"102","ANI-21-0685","CAU_1630",1
"103","ANI-21-0686","CAU_1630",2
"104","ANI-21-0687","CAU_1630",1
"105","ANI-21-0689","CAU_1630",2
"106","ANI-21-0690","CAU_1630",3
"107","ANI-21-0692","CAU_1630",2
"108","ANI-21-0696","CAU_1800",1
"109","ANI-21-0697","CAU_1800",2
"110","ANI-21-0699","CAU_1800",1
"111","ANI-21-0700","CAU_1800",2
"112","ANI-21-0702","CAU_1800",1
"113","ANI-21-0703","CAU_1800",1
"114","ANI-21-0704","CAU_1800",1
"115","ANI-21-0705","CAU_1800",1
"116","ANI-21-0706","CAU_2020",1
"117","ANI-21-0717","CAU_2225",2
"118","ANI-21-0719","CAU_2225",1
"119","ANI-21-0720","CAU_2225",3
"120","ANI-21-0722","CAU_2225",3
"121","ANI-21-0730","CAU_2445",1
"122","ANI-21-0739","CAU_2650",2
"123","ANI-21-0740","CAU_2650",2
"124","ANI-21-0742","CAU_2650",2
"125","ANI-21-0743","CAU_2650",2
"126","ANI-21-0744","CAU_2650",1
"127","ANI-21-0750","MOU_1810",6
"128","ANI-21-0751","MOU_1810",6
"129","ANI-21-0752","MOU_1810",2
"130","ANI-21-0753","MOU_1810",5
"131","ANI-21-0754","MOU_1810",4
"132","ANI-21-0755","MOU_1810",10
"133","ANI-21-0756","MOU_1810",3
"134","ANI-21-0757","MOU_1810",3
"135","ANI-21-0761","MOU_1940",11
"136","ANI-21-0762","MOU_1940",7
"137","ANI-21-0763","MOU_1940",11
"138","ANI-21-0764","MOU_1940",6
"139","ANI-21-0765","MOU_1940",8
"140","ANI-21-0766","MOU_1940",6
"141","ANI-21-0767","MOU_1940",3
"142","ANI-21-0769","MOU_1940",1
"143","ANI-21-0770","MOU_1940",1
"144","ANI-21-0772","MOU_2160",4
"145","ANI-21-0773","MOU_2160",5
"146","ANI-21-0774","MOU_2160",5
"147","ANI-21-0775","MOU_2160",4
"148","ANI-21-0776","MOU_2160",4
"149","ANI-21-0777","MOU_2160",4
"150","ANI-21-0778","MOU_2160",2
"151","ANI-21-0783","MOU_2355",7
"152","ANI-21-0784","MOU_2355",2
"153","ANI-21-0785","MOU_2355",2
"154","ANI-21-0786","MOU_2355",5
"155","ANI-21-0787","MOU_2355",2
"156","ANI-21-0788","MOU_2355",2
"157","ANI-21-0789","MOU_2355",1
"158","ANI-21-0793","MOU_2355",1
"159","ANI-21-0794","MOU_2470",5
"160","ANI-21-0795","MOU_2470",1
"161","ANI-21-0797","MOU_2470",4
"162","ANI-21-0798","MOU_2470",6
"163","ANI-21-0799","MOU_2470",7
"164","ANI-21-0800","MOU_2470",3
"165","ANI-21-0803","MOU_2470",1
"166","ANI-21-0805","MOU_2720",5
"167","ANI-21-0806","MOU_2720",1
"168","ANI-21-0807","MOU_2720",6
"169","ANI-21-0808","MOU_2720",2
"170","ANI-21-0809","MOU_2720",2
"171","ANI-21-0810","MOU_2720",1
"172","ANI-21-0816","RIS_1900",7
"173","ANI-21-0817","RIS_1900",5
"174","ANI-21-0818","RIS_1900",5
"175","ANI-21-0819","RIS_1900",3
"176","ANI-21-0820","RIS_1900",8
"177","ANI-21-0821","RIS_1900",5
"178","ANI-21-0822","RIS_1900",1
"179","ANI-21-0824","RIS_1900",1
"180","ANI-21-0827","RIS_2195",5
"181","ANI-21-0828","RIS_2195",5
"182","ANI-21-0829","RIS_2195",8
"183","ANI-21-0830","RIS_2195",1
"184","ANI-21-0831","RIS_2195",2
"185","ANI-21-0832","RIS_2195",6
