"","method","Replicate number","id_sample","gradient","alti","INat","abundance","stade","state","sexe","mass","name","referential","id","rankName","fullName","familyName","orderName","className","phylumName"
"1","barber",1,"ANI-21-0816","RIS","1900",1,1,"ad",NA,NA,NA,"Neocrepidodera","gbif",1048126,"Genre","Neocrepidodera Heikertinger, 1911","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"2","barber",1,"ANI-21-0816","RIS","1900",1,1,"ad",NA,NA,NA,"Otiorhynchus","gbif",1194803,"Genre","Otiorhynchus Germar, 1822","Curculionidae","Coleoptera","Insecta","Arthropoda"
"3","barber",1,"ANI-21-0816","RIS","1900",1,1,NA,NA,NA,NA,"Eremocoris abietis","taxref",238091,"Espèce","Eremocoris abietis (Linnaeus, 1758)","Rhyparochromidae","Hemiptera","Insecta","Arthropoda"
"4","barber",1,"ANI-21-0816","RIS","1900",1,1,"ad",NA,NA,NA,"Belyta","gbif",9091893,"Genre","Belyta Jurine, 1807","Diapriidae","Hymenoptera","Insecta","Arthropoda"
"5","barber",1,"ANI-21-0816","RIS","1900",1,1,"ad",NA,"male",0.109,"Pterostichus multipunctatus","taxref",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"6","barber",1,"ANI-21-0816","RIS","1900",1,4,"ad",NA,NA,NA,"Philonthina","gbif",NA,NA,NA,NA,NA,NA,NA
"7","barber",1,"ANI-21-0827","RIS","2195",1,1,NA,NA,NA,NA,"Heteroptera","gbif",3264953,"Genre","Heteroptera Macquart, 1835","Sphaeroceridae","Diptera","Insecta","Arthropoda"
"8","barber",1,"ANI-21-0827","RIS","2195",1,1,"ad",NA,NA,NA,"Alticini","taxref",730142,"Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"9","barber",1,"ANI-21-0827","RIS","2195",1,1,"ad",NA,NA,NA,"Alticini","taxref",730142,"Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"10","barber",1,"ANI-21-0827","RIS","2195",1,1,"ad",NA,NA,NA,"Chrysomeloidea",NA,NA,NA,NA,NA,NA,NA,NA
"11","barber",1,"ANI-21-0827","RIS","2195",1,1,"ad",NA,NA,NA,"Neocrepidodera","gbif",1048126,"Genre","Neocrepidodera Heikertinger, 1911","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"12","barber",1,"ANI-21-0827","RIS","2195",1,1,"ad",NA,NA,NA,"Apioninae","taxref",774599,"Sous-Famille","Apioninae Schönherr, 1823","Brentidae","Coleoptera","Insecta","Arthropoda"
"13","barber",1,"ANI-21-0827","RIS","2195",1,1,NA,NA,NA,NA,"Rhyparochromus pini","taxref",51720,"Espèce","Rhyparochromus pini (Linnaeus, 1758)","Rhyparochromidae","Hemiptera","Insecta","Arthropoda"
"14","barber",1,"ANI-21-0827","RIS","2195",1,1,NA,NA,NA,NA,"Rhyparochromus","gbif",5152522,"Genre","Rhyparochromus Hahn, 1826","Rhyparochromidae","Hemiptera","Insecta","Arthropoda"
"15","barber",1,"ANI-21-0827","RIS","2195",1,1,NA,NA,NA,NA,"Gomphocerus sibiricus","gbif",1699913,"Espèce","Gomphocerus sibiricus (Linnaeus, 1767)","Acrididae","Orthoptera","Insecta","Arthropoda"
"16","barber",1,"ANI-21-0827","RIS","2195",1,1,NA,NA,NA,NA,"Chorthippus apricarius","gbif",1708601,"Espèce","Chorthippus apricarius (Linnaeus, 1758)","Acrididae","Orthoptera","Insecta","Arthropoda"
"17","barber",1,"ANI-21-0827","RIS","2195",1,2,NA,NA,NA,NA,"Chorthippus apricarius","gbif",1708601,"Espèce","Chorthippus apricarius (Linnaeus, 1758)","Acrididae","Orthoptera","Insecta","Arthropoda"
"18","barber",1,"ANI-21-0827","RIS","2195",1,3,NA,NA,NA,NA,"Chorthippus apricarius","gbif",1708601,"Espèce","Chorthippus apricarius (Linnaeus, 1758)","Acrididae","Orthoptera","Insecta","Arthropoda"
"19","barber",1,"ANI-21-0838","RIS","2340",1,1,"ad",NA,"male",0.027,"Amara equestris","gbif",4472993,"Espèce","Amara equestris (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"20","barber",1,"ANI-21-0838","RIS","2340",1,1,"ad",NA,"female",0.793,"Carabus problematicus inflatus","gbif",4470555,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"21","barber",1,"ANI-21-0838","RIS","2340",1,1,"ad",NA,NA,NA,"Bethylus","gbif",3258530,"Genre","Bethylus Latreille, 1802","Bethylidae","Hymenoptera","Insecta","Arthropoda"
"22","barber",1,"ANI-21-0838","RIS","2340",1,1,NA,NA,NA,NA,"Chorthippus apricarius","gbif",1708601,"Espèce","Chorthippus apricarius (Linnaeus, 1758)","Acrididae","Orthoptera","Insecta","Arthropoda"
"23","barber",1,"ANI-21-0838","RIS","2340",1,1,NA,NA,NA,NA,"Anonconotus","gbif",1683703,"Genre","Anonconotus Camerano, 1878","Tettigoniidae","Orthoptera","Insecta","Arthropoda"
"24","barber",1,"ANI-21-0838","RIS","2340",1,1,"ad",NA,NA,NA,"Onthophagus fracticornis","taxref",10861,"Espèce","Onthophagus fracticornis (Preyssler, 1790)","Scarabaeidae","Coleoptera","Insecta","Arthropoda"
"25","barber",1,"ANI-21-0838","RIS","2340",1,1,"ad",NA,NA,NA,"Xantholinus","gbif",8320209,"Genre","Xantholinus Dejean, 1821","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"26","barber",1,"ANI-21-0849","RIS","2570",1,1,"ad",NA,NA,NA,"Cephenniini","taxref",812504,"Tribu","Cephenniini Reitter, 1882","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"27","barber",1,"ANI-21-0849","RIS","2570",1,1,"larv",NA,NA,NA,"Coleoptera","gbif",1470,"Ordre","Coleoptera",NA,"Coleoptera","Insecta","Arthropoda"
"28","barber",1,"ANI-21-0849","RIS","2570",1,1,NA,NA,NA,NA,"Gomphocerinae","taxref",535895,"Sous-Famille","Gomphocerinae Fieber, 1853","Acrididae","Orthoptera","Insecta","Arthropoda"
"29","barber",1,"ANI-21-0849","RIS","2570",1,2,NA,NA,NA,NA,"Myrmeleotettix maculatus","gbif",1701365,"Espèce","Myrmeleotettix maculatus (Thunberg, 1815)","Acrididae","Orthoptera","Insecta","Arthropoda"
"30","barber",1,"ANI-21-0849","RIS","2570",1,3,NA,NA,NA,NA,"Myrmeleotettix maculatus","gbif",1701365,"Espèce","Myrmeleotettix maculatus (Thunberg, 1815)","Acrididae","Orthoptera","Insecta","Arthropoda"
"31","barber",1,"ANI-21-0860","RIS","2770",1,1,"ad",NA,"female",0.284,"Carabus fairmairei","gbif",4470882,"Espèce","Carabus fairmairei C.G.Thomson, 1875","Carabidae","Coleoptera","Insecta","Arthropoda"
"32","barber",1,"ANI-21-0860","RIS","2770",1,3,NA,NA,NA,NA,"Saldula orthochila","taxref",237335,"Espèce","Saldula orthochila (Fieber, 1859)","Saldidae","Hemiptera","Insecta","Arthropoda"
"33","barber",1,"ANI-21-0860","RIS","2770",1,1,"ad",NA,NA,NA,"Hymenoptera","taxref",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"34","barber",1,"ANI-21-0860","RIS","2770",1,1,"ad",NA,NA,NA,"Hymenoptera","taxref",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"35","barber",1,"ANI-21-0860","RIS","2770",1,1,"larv",NA,NA,NA,"Lepidoptera","gbif",797,"Ordre","Lepidoptera",NA,"Lepidoptera","Insecta","Arthropoda"
"36","barber",1,"ANI-21-0860","RIS","2770",1,3,"ad",NA,NA,NA,"Staphylinidae","taxref",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"37","barber",1,"ANI-21-0860","RIS","2770",1,2,"ad",NA,NA,0.0125,"Trechinae","taxref",703278,"Sous-Famille","Trechinae Bonelli, 1810","Carabidae","Coleoptera","Insecta","Arthropoda"
"38","barber",1,"ANI-21-0871","RIS","2890",1,1,"ad",NA,NA,NA,"Alticini","taxref",730142,"Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"39","barber",1,"ANI-21-0871","RIS","2890",1,1,"ad",NA,NA,NA,"Anthophila","gbif",5123443,"Genre","Anthophila Haworth, 1811","Choreutidae","Lepidoptera","Insecta","Arthropoda"
"40","barber",1,"ANI-21-0882","TAN","1420",1,1,NA,NA,NA,NA,"Auchenorrhyncha","gbif",NA,NA,NA,NA,NA,NA,NA
"41","barber",1,"ANI-21-0882","TAN","1420",1,1,"ad",NA,NA,NA,"Catopina","gbif",NA,NA,NA,NA,NA,NA,NA
"42","barber",1,"ANI-21-0882","TAN","1420",1,1,"ad",NA,NA,NA,"Aleochara","gbif",1040722,"Genre","Aleochara Gravenhorst, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"43","barber",1,"ANI-21-0893","TAN","1700",1,1,"ad",NA,NA,NA,"Otiorhynchus carinatopunctatus","taxref",794926,"Espèce","Otiorhynchus carinatopunctatus (Retzius, 1783)","Curculionidae","Coleoptera","Insecta","Arthropoda"
"44","barber",1,"ANI-21-0893","TAN","1700",1,31,"ad",NA,NA,NA,"Pella humeralis","taxref",794506,"Espèce","Pella humeralis (Gravenhorst, 1806)","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"45","barber",1,"ANI-21-0904","TAN","1890",1,1,"ad",NA,"female",NA,"Myrmica ruginodis","gbif",1318848,"Espèce","Myrmica ruginodis Nylander, 1846","Formicidae","Hymenoptera","Insecta","Arthropoda"
"46","barber",1,"ANI-21-0904","TAN","1890",1,1,"ad",NA,NA,NA,"Eucoilinae","taxref",827772,"Sous-Famille","Eucoilinae Thomson, 1862","Figitidae","Hymenoptera","Insecta","Arthropoda"
"47","barber",1,"ANI-21-0904","TAN","1890",1,1,"ad",NA,NA,NA,"Pella humeralis","taxref",794506,"Espèce","Pella humeralis (Gravenhorst, 1806)","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"48","barber",1,"ANI-21-0904","TAN","1890",1,3,"ad",NA,NA,NA,"Raphirus","gbif",3262387,"Genre","Raphirus Stephens, 1833","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"49","barber",1,"ANI-21-0904","TAN","1890",1,1,"ad",NA,NA,NA,"Athetina","taxref",964499,"Sous-Tribu","Athetina Casey, 1906","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"50","barber",1,"ANI-21-0915","TAN","2100",1,7,"ad",NA,NA,NA,"Athetina","taxref",964499,"Sous-Tribu","Athetina Casey, 1906","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"51","barber",1,"ANI-21-0915","TAN","2100",1,1,"ad",NA,NA,NA,"Exallonyx","gbif",1248782,"Genre","Exallonyx Kieffer, 1904","Proctotrupidae","Hymenoptera","Insecta","Arthropoda"
"52","barber",1,"ANI-21-0915","TAN","2100",1,1,"ad",NA,NA,NA,"Catopina","gbif",NA,NA,NA,NA,NA,NA,NA
"53","barber",1,"ANI-21-0915","TAN","2100",1,1,"ad",NA,NA,NA,"Aleocharinae","taxref",523719,"Sous-Famille","Aleocharinae Fleming, 1821","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"54","barber",1,"ANI-21-0915","TAN","2100",1,1,"ad",NA,NA,NA,"Raphirus","gbif",3262387,"Genre","Raphirus Stephens, 1833","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"55","barber",1,"ANI-21-0948","VCHA","1910",1,1,"ad",NA,"female",0.545,"Carabus problematicus","gbif",4470555,"Espèce","Carabus problematicus Herbst, 1786","Carabidae","Coleoptera","Insecta","Arthropoda"
"56","barber",1,"ANI-21-0948","VCHA","1910",1,1,NA,NA,NA,NA,"Stauroderus scalaris","gbif",1703827,"Espèce","Stauroderus scalaris (Fischer von Waldheim, 1846)","Acrididae","Orthoptera","Insecta","Arthropoda"
"57","barber",1,"ANI-21-0948","VCHA","1910",1,1,NA,NA,NA,NA,"Podisma pedestris","gbif",1704142,"Espèce","Podisma pedestris (Linnaeus, 1758)","Acrididae","Orthoptera","Insecta","Arthropoda"
"58","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Alticini","taxref",730142,"Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"59","barber",1,"ANI-21-0959","VCHA","2150",1,1,NA,NA,NA,NA,"Cicadellidae","taxref",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"60","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,"female",0.006,"Calathus micropterus","taxref",222357,"Espèce","Calathus micropterus (Duftschmid, 1812)","Carabidae","Coleoptera","Insecta","Arthropoda"
"61","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Simplocaria","gbif",1033745,"Genre","Simplocaria Stephens, 1829","Byrrhidae","Coleoptera","Insecta","Arthropoda"
"62","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,NA,NA,"Curculionidae","taxref",184685,"Famille","Curculionidae Latreille, 1802","Curculionidae","Coleoptera","Insecta","Arthropoda"
"63","barber",1,"ANI-21-0959","VCHA","2150",1,1,"ad",NA,"female",0.004,"Notiophilus biguttatus","taxref",8526,"Espèce","Notiophilus biguttatus (Fabricius, 1779)","Carabidae","Coleoptera","Insecta","Arthropoda"
