"","id_sample","ab","mass","q0","q1","q2","HabitatAgricultural_area","HabitatArable_land","HabitatBuildings","HabitatCoastal","HabitatDeciduous","HabitatFew_no_vegetation","HabitatForest","HabitatForest_semi_natural_area","HabitatGardens","HabitatGrassland","HabitatParks","HabitatPasture_meadows","HabitatShrub_heatland","HabitatUrban_green_areas","HabitatArtificial_surface","HabitatPerenial","HabitatCaves","HabitatRunning_water_banks","HabitatInland","HabitatPeatbog","HabitatMineral_extraction_sites","HabitatSempervirent","HabitatCrop","HabitatOrchards","HabitatStanding_water_banks","HabitatFallow","HabitatDump","HabitatH","Body_length"
"1","ANI-21-0840"," 2","1.1650"," 1","1.000000","1.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ANI-22-0102"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ANI-21-0952"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ANI-22-0016"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ANI-22-0017"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ANI-22-0151"," 6","1.8020"," 2","1.754765","1.600000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 72.31300"
"7","ANI-22-0173"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ANI-21-0967"," 3","1.7050"," 2","2.000000","2.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 72.08300"
"9","ANI-22-0153","15","2.1920"," 1","1.000000","1.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 73.58200"
"10","ANI-22-0022"," 4","4.2560"," 2","2.000000","2.000000","0.035714286","0.107142857","0.000000000","0.000000000","0.10714286","0.00000000","0.07142857","0.07142857","0.035714286","0.10714286","0.00000000","0.142857143","0.035714286","0.000000000","0.07142857","0.07142857","0.00","0.035714286","0.035714286","0.00000000","0.000000000","0.00000000","0.00000000","0.035714286","0.035714286","0.00000000","0.00000000","3.7264741","129.83100"
"11","ANI-22-0154"," 6","1.4830"," 1","1.000000","1.000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 65.00000"
"12","ANI-21-0552"," 2","1.0050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ANI-21-0574"," 2","1.0336"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.000000000","0.20000000","0.00000000","0.00000000","0.20000000","0.000000000","0.40000000","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.20000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.9219281"," 12.50000"
"14","ANI-21-0882"," 3","1.1627"," 2","2.000000","2.000000","0.000000000","0.000000000","0.000000000","0.016129032","0.04838710","0.00000000","0.29516129","0.36129032","0.000000000","0.18225806","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.048387097","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.04838710","2.0042949"," 27.06250"
"15","ANI-22-0287"," 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ANI-22-0298"," 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ANI-21-0597"," 2","1.1970"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.032258065","0.09677419","0.00000000","0.29032258","0.32258065","0.000000000","0.06451613","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.096774194","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.09677419","2.4376393"," 30.62500"
"18","ANI-21-0652"," 2","1.0104"," 1","1.000000","1.000000","0.000000000","0.000000000","0.028571429","0.057142857","0.00000000","0.00000000","0.28571429","0.04285714","0.028571429","0.15714286","0.00000000","0.114285714","0.185714286","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.02857143","0.000000000","0.04285714","0.00000000","0.000000000","0.000000000","0.02857143","0.00000000","2.9563144"," 25.57773"
"19","ANI-21-0817"," 2","1.0430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ANI-21-0850"," 2","1.0910"," 1","1.000000","1.000000","0.000000000","0.166666667","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.16666667","0.000000000","0.00000000","0.00000000","0.333333333","0.000000000","0.000000000","0.16666667","0.16666667","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","2.2516292"," 45.00000"
