"","id_sample","ab","mass","q0","q1","q2","HabitatAgricultural_area","HabitatBuildings","HabitatForest","HabitatGardens","HabitatGrassland","HabitatMineral_extraction_sites","HabitatCaves","HabitatCoastal","HabitatInland","HabitatShrub_heatland","HabitatUrban_green_areas","HabitatPasture_meadows","HabitatRunning_water_banks","HabitatH","Body_length"
"1","ANI-21-0952",2,NA,1,1,1,0.0454545454545455,0.181818181818182,0.0454545454545455,0.318181818181818,0.272727272727273,0.136363636363636,0,0,0,0,0,0,0,2.28142493859668,16.5
"2","ANI-22-0067",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ANI-22-0254",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ANI-22-0287",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ANI-21-0883",2,1.0118,1,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,1,8
"6","ANI-21-0960",2,1.0194,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.5
"7","ANI-22-0277",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ANI-22-0288",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ANI-22-0299",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ANI-21-0961",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ANI-22-0256",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ANI-22-0289",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ANI-21-0676",2,1.0219,1,1,1,0,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0.428571428571429,0.985228136034252,7.66666666666667
"14","ANI-22-0103",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ANI-22-0257",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ANI-22-0279",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ANI-22-0301",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ANI-22-0258",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ANI-22-0280",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ANI-22-0302",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ANI-21-0678",2,1.0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ANI-22-0006",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ANI-22-0072",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ANI-22-0105",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ANI-22-0303",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ANI-21-0668",4,1.1068,1,1,1,0,0.109375,0.234375,0.0625,0.109375,0,0.046875,0.0625,0.078125,0.078125,0.21875,0,0,2.9502583562066,16.3461538461538
"27","ANI-21-0954",3,1.0127,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.5
"28","ANI-21-0680",2,1.0118,1,1,1,0,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0.428571428571429,0.985228136034252,7.66666666666667
"29","ANI-22-0294",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ANI-21-0616",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ANI-22-0285",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ANI-22-0286",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
