"","id_plot","ab","mass","q0","q1","q2","Body_length"
"1","ARM_1520",2,NA,NA,NA,NA,NA
"2","BOU_1240",2,NA,NA,NA,NA,NA
"3","CAU_1220",4,1.1068,1,1,1,16.3461538461538
"4","CAU_1400",2,1.0117,NA,NA,NA,NA
"5","MSB_1890",2,NA,NA,NA,NA,NA
"6","PEC_1152",4.52941176470588,NA,NA,NA,NA,NA
"7","TAN_1420",2,1.0118,1,1,1,8
"8","VCHA_1910",2.5,NA,1,1,1,15.5
"9","VCHA_2150",2,NA,NA,NA,NA,NA
"10","VTN_1130",2.30555555555556,NA,NA,NA,NA,NA
"11","VTN_1510",3.11111111111111,NA,NA,NA,NA,NA
"12","VTN_1675",2.69767441860465,NA,NA,NA,NA,NA
"13","VTN_1860",2,NA,NA,NA,NA,NA
