"","id_sample","ab","mass","q0","q1","q2","HabitatPasture_meadows","HabitatShrub_heatland","HabitatAgricultural_area","HabitatForest","HabitatGrassland","HabitatH","Body_length"
"1","ANI-21-0827",8,NA,2,1.50699306577254,1.32432432432432,0,0,0,0,1,0,18.0714285714286
"2","ANI-21-0838",3,NA,1,1,1,NA,NA,NA,NA,NA,NA,17.5
"3","ANI-21-0849",7,NA,1,1,1,NA,NA,NA,NA,NA,NA,13.25
"4","ANI-21-0948",3,NA,2,2,2,0.5,0,0,0.125,0.375,0.405639062229566,23.125
"5","ANI-21-0970",6,NA,2,1.88988157484231,1.8,0,0,0,0.166666666666667,0.833333333333333,0.540852082972755,22.5
"6","ANI-22-0001",5,NA,3,2.82842712474619,2.66666666666667,0.125,0.125,0,0.5625,0.1875,0.452819531114783,17.3125
"7","ANI-22-0012",4,NA,3,3,3,0.75,0.25,0,0,0,0.5,27.375
"8","ANI-21-0828",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ANI-21-0839",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ANI-21-0850",4,NA,2,2,2,NA,NA,NA,NA,NA,NA,17.6875
"11","ANI-21-0861",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ANI-21-0872",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ANI-21-0949",4,NA,3,3,3,0.5,0,0.214285714285714,0.0714285714285714,0.214285714285714,0.724407817862592,20.375
"14","ANI-21-0971",11,NA,1,1,1,0,0,0,0,1,0,21.5
"15","ANI-22-0013",4,NA,3,3,3,0.25,0.25,0,0,0.5,0.5,23.2083333333333
"16","ANI-22-0079",2,NA,1,1,1,0,0,0,0,1,0,18
"17","ANI-22-0222",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,17.5
"18","ANI-22-0255",3,NA,1,1,1,0,0,0,1,0,0,9.5
"19","ANI-21-0829",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ANI-21-0840",3,NA,1,1,1,0,0,0,0,1,0,21.5
"21","ANI-21-0851",17,NA,2,1.29345720901131,1.15294117647059,0,0,0,0,1,0,13.8392857142857
"22","ANI-21-0972",7,NA,1,1,1,0,0,0,0,1,0,21.5
"23","ANI-22-0003",3,NA,1,1,1,0,0,0,1,0,0,9.5
"24","ANI-22-0014",5,NA,4,4,4,0.166666666666667,0.166666666666667,0,0.416666666666667,0.25,0.603759374819711,24.6666666666667
"25","ANI-22-0146",6,NA,2,1.88988157484231,1.8,0,0,0,0.25,0.75,0.811278124459133,21.1666666666667
"26","ANI-22-0190",7,NA,3,2.3811015779523,2,0,0,0,0,1,0,20.8
"27","ANI-22-0245",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ANI-21-0830",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ANI-21-0852",8,NA,2,1.88988157484231,1.8,0.5,0.5,0,0,0,1,19.3333333333333
"30","ANI-22-0004",3,NA,2,2,2,0.5,0.5,0,0,0,1,30.375
"31","ANI-22-0015",5,NA,4,4,4,0,0,0,0.625,0.375,0.405639062229566,20.59375
"32","ANI-22-0257",3,NA,1,1,1,0,0,0,1,0,0,9.5
"33","ANI-21-0831",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ANI-21-0853",19,NA,2,1.97962633005252,1.96,0,0,0,0,1,0,17.9642857142857
"35","ANI-21-0864",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ANI-21-0952",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ANI-21-0974",7,NA,1,1,1,0,0,0,0,1,0,21.5
"38","ANI-22-0005",4,NA,3,3,3,0,0,0,0.25,0.75,0.811278124459133,23.6666666666667
"39","ANI-22-0016",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,18.875
"40","ANI-22-0148",3,NA,1,1,1,0,0,0,0.25,0.75,0.811278124459133,23
"41","ANI-22-0181",20,NA,2,1.88988157484231,1.8,NA,NA,NA,NA,NA,NA,18
"42","ANI-22-0192",4,NA,2,1.88988157484231,1.8,0,0,0,0,1,0,19.1666666666667
"43","ANI-22-0225",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,17.5
"44","ANI-22-0236",4,NA,2,1.88988157484231,1.8,0,0,0,0,1,0,18
"45","ANI-22-0258",11,NA,1,1,1,0,0,0,1,0,0,9.5
"46","ANI-21-0843",12,NA,2,1.75476535060332,1.6,0.375,0.375,0,0.0625,0.1875,0.952819531114783,29.375
"47","ANI-21-0854",3,NA,1,1,1,NA,NA,NA,NA,NA,NA,13.25
"48","ANI-21-0953",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"49","ANI-21-0975",7,NA,1,1,1,0,0,0,0,1,0,21.5
"50","ANI-22-0006",4,NA,1,1,1,0,0,0,1,0,0,9.5
"51","ANI-22-0017",2,NA,1,1,1,0,0,0,0.25,0.75,0.811278124459133,23
"52","ANI-22-0149",2,NA,1,1,1,0,0,0,0,1,0,20.125
"53","ANI-22-0182",10,NA,4,3.57165236692845,3.24,0,0,0,0.5,0.5,0,17.5277777777778
"54","ANI-22-0248",3,NA,1,1,1,0,0,0,0,1,0,18
"55","ANI-21-0585",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","ANI-21-0596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ANI-21-0651",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ANI-21-0717",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ANI-21-0761",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ANI-21-0772",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ANI-21-0783",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ANI-21-0805",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","ANI-21-0586",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ANI-21-0597",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ANI-21-0652",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ANI-21-0718",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ANI-21-0740",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ANI-21-0751",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ANI-21-0762",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","ANI-21-0784",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ANI-21-0806",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ANI-21-0576",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","ANI-21-0598",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","ANI-21-0653",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","ANI-21-0719",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","ANI-21-0741",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","ANI-21-0763",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","ANI-21-0785",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ANI-21-0807",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ANI-21-0577",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","ANI-21-0599",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ANI-21-0654",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","ANI-21-0720",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","ANI-21-0753",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","ANI-21-0764",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","ANI-21-0786",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","ANI-21-0797",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","ANI-21-0589",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","ANI-21-0600",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","ANI-21-0754",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","ANI-21-0765",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
