"","id_sample","ab","mass","q0","q1","q2","Body_length"
"1","ANI-21-0816",2,1.109,1,1,1,NA
"2","ANI-21-0838",10,5.113,3,2.08677944009772,1.68421052631579,21.7387755102041
"3","ANI-21-0860",4,1.2965,1,1,1,NA
"4","ANI-21-0948",2,1.545,1,1,1,23.75
"5","ANI-21-0959",7,1.035,3,2.58640928985893,2.27272727272727,6.10914285714286
"6","ANI-22-0001",5,NA,3,3,3,22.0992857142857
"7","ANI-22-0012",3,NA,1,1,1,38.15
"8","ANI-22-0056",2,NA,NA,NA,NA,NA
"9","ANI-22-0111",2,NA,1,1,1,12.645
"10","ANI-22-0199",2,NA,NA,NA,NA,NA
"11","ANI-22-0221",2,NA,NA,NA,NA,NA
"12","ANI-22-0243",5,NA,1,1,1,NA
"13","ANI-22-0254",2,NA,1,1,1,18.5478571428571
"14","ANI-22-0287",19,NA,NA,NA,NA,NA
"15","ANI-22-0298",3,NA,NA,NA,NA,NA
"16","ANI-21-0850",2,NA,NA,NA,NA,NA
"17","ANI-21-0861",2,NA,1,1,1,15
"18","ANI-21-0949",2,1.019,NA,NA,NA,NA
"19","ANI-21-0960",7,1.038,4,3.46410161513775,3,5.91965608465608
"20","ANI-21-0971",2,1.038,1,1,1,NA
"21","ANI-22-0002",2,NA,NA,NA,NA,NA
"22","ANI-22-0057",4,NA,1,1,1,NA
"23","ANI-22-0090",2,NA,NA,NA,NA,NA
"24","ANI-22-0101",4,NA,2,1.88988157484231,1.8,14.4038095238095
"25","ANI-22-0112",8,NA,2,1.50699306577254,1.32432432432432,13.4882653061224
"26","ANI-22-0200",6,NA,NA,NA,NA,NA
"27","ANI-22-0222",6,NA,3,3,3,18.25
"28","ANI-22-0277",6,NA,2,1.75476535060332,1.6,15.7291666666667
"29","ANI-22-0288",20,NA,1,1,1,15.6666666666667
"30","ANI-21-0829",5,1.291,NA,NA,NA,NA
"31","ANI-21-0840",4,1.996,2,1.88988157484231,1.8,23.75
"32","ANI-21-1005",2,NA,NA,NA,NA,NA
"33","ANI-22-0003",2,NA,NA,NA,NA,NA
"34","ANI-22-0014",3,NA,1,1,1,25
"35","ANI-22-0102",24,NA,3,2.4602329762891,2.13333333333333,16.2216071428571
"36","ANI-22-0113",12,NA,3,2.55202792428089,2.31428571428571,17.1860317460317
"37","ANI-22-0201",3,NA,1,1,1,NA
"38","ANI-22-0289",12,NA,NA,NA,NA,NA
"39","ANI-22-0300",2,NA,NA,NA,NA,NA
"40","ANI-22-0048",3,NA,2,2,2,NA
"41","ANI-22-0070",4,NA,NA,NA,NA,NA
"42","ANI-22-0081",2,NA,NA,NA,NA,NA
"43","ANI-22-0103",2,NA,1,1,1,15.6666666666667
"44","ANI-22-0114",8,NA,2,1.81896851165317,1.68965517241379,14.3315306122449
"45","ANI-22-0202",6,NA,2,1.96013170420779,1.92307692307692,NA
"46","ANI-22-0224",3,NA,1,1,1,23.75
"47","ANI-22-0257",3,NA,1,1,1,18.5478571428571
"48","ANI-22-0279",10,NA,1,1,1,15.75
"49","ANI-21-0820",14,1.233,3,2.82842712474619,2.66666666666667,23.75
