"","method","Replicate number","ANI","yr","nb","gradient","alti","INat","abundance","stade","état","sexe","Mass","referential","canonic","id","rankName","referenceName","familyName","orderName","className","phylumName"
"1","barber",1,"ANI","21","0541","ARG","1420",0,1,"adulte",NA,NA,"0,003","taxref","Notiophilus",195267,"Genre","Notiophilus Duméril, 1806","Carabidae","Coleoptera","Insecta","Arthropoda"
"2","barber",1,"ANI","21","0552","ARG","1620",0,1,NA,NA,NA,NA,"taxref","Cicadellidae",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"3","barber",1,"ANI","21","0552","ARG","1620",0,2,"juvenile",NA,"indeterminé",NA,"taxref","Dysderidae",184359,"Famille","Dysderidae ","Dysderidae","Araneae","Arachnida","Arthropoda"
"4","barber",1,"ANI","21","0552","ARG","1620",0,1,"adulte",NA,NA,NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"5","barber",1,"ANI","21","0552","ARG","1620",0,1,"larve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","barber",1,"ANI","21","0552","ARG","1620",0,1,"juvénile",NA,NA,"0,005","taxref","Lumbricidae",183787,"Famille","Lumbricidae Claus, 1876","Lumbricidae","Crassiclitellata","Clitellata","Annelida"
"7","barber",1,"ANI","21","0552","ARG","1620",0,1,"adulte",NA,"femelle","0,089","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"8","barber",1,"ANI","21","0552","ARG","1620",0,1,"adulte",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"9","barber",1,"ANI","21","0552","ARG","1620",0,1,"adulte",NA,"femelle",NA,"taxref","Tenuiphantes tenebricola",233786,"Espèce","Tenuiphantes tenebricola (Wider, 1834)","Linyphiidae","Araneae","Arachnida","Arthropoda"
"10","barber",1,"ANI","21","0563","ARG","1790",0,1,"adulte",NA,"male",NA,"taxref","Centromerus sellarius",233501,"Espèce","Centromerus sellarius (Simon, 1884)","Linyphiidae","Araneae","Arachnida","Arthropoda"
"11","barber",1,"ANI","21","0563","ARG","1790",0,4,NA,NA,NA,NA,"taxref","Collembola",184571,"Ordre","Collembola Lubbock, 1870",NA,"Collembola","Entognatha","Arthropoda"
"12","barber",1,"ANI","21","0563","ARG","1790",0,2,"adulte",NA,"femelle",NA,"taxref","Cryphoeca silvicola",1863,"Espèce","Cryphoeca silvicola (C.L. Koch, 1834)","Cybaeidae","Araneae","Arachnida","Arthropoda"
"13","barber",1,"ANI","21","0563","ARG","1790",0,2,"adulte",NA,"male",NA,"taxref","Cryphoeca silvicola",1863,"Espèce","Cryphoeca silvicola (C.L. Koch, 1834)","Cybaeidae","Araneae","Arachnida","Arthropoda"
"14","barber",1,"ANI","21","0563","ARG","1790",0,2,"adulte",NA,"Femelle",NA,"taxref","Formicidae",185188,"Famille","Formicidae Latreille, 1809","Formicidae","Hymenoptera","Insecta","Arthropoda"
"15","barber",1,"ANI","21","0563","ARG","1790",0,1,"adulte",NA,NA,NA,"taxref","Hymenoptera",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"16","barber",1,"ANI","21","0563","ARG","1790",0,1,"adulte",NA,"femelle",NA,"taxref","Lepthyphantes nodifer",233621,"Espèce","Lepthyphantes nodifer Simon, 1884","Linyphiidae","Araneae","Arachnida","Arthropoda"
"17","barber",1,"ANI","21","0563","ARG","1790",0,3,"adulte",NA,NA,NA,"taxref","Polyphaga",184631,"Sous-Ordre","Polyphaga ",NA,"Coleoptera","Insecta","Arthropoda"
"18","barber",1,"ANI","21","0563","ARG","1790",0,1,"adulte",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"19","barber",1,"ANI","21","0563","ARG","1790",0,1,"larve",NA,NA,NA,"taxref","Tipulidae",184950,"Famille","Tipulidae Latreille, 1802","Tipulidae","Diptera","Insecta","Arthropoda"
"20","barber",1,"ANI","21","0574","ARG","2000",0,1,NA,NA,NA,NA,"taxref","Collembola",184571,"Ordre","Collembola Lubbock, 1870",NA,"Collembola","Entognatha","Arthropoda"
"21","barber",1,"ANI","21","0574","ARG","2000",0,1,"juvenile",NA,"indeterminé",NA,"taxref","Cybaeidae",184357,"Famille","Cybaeidae ","Cybaeidae","Araneae","Arachnida","Arthropoda"
"22","barber",1,"ANI","21","0574","ARG","2000",0,18,"adulte",NA,"Femelle",NA,"taxref","Formicidae",185188,"Famille","Formicidae Latreille, 1809","Formicidae","Hymenoptera","Insecta","Arthropoda"
"23","barber",1,"ANI","21","0574","ARG","2000",0,1,"adulte",NA,"mâle","0,0336","taxref","Glomeris transalpina",227456,"Espèce","Glomeris transalpina C.L. Koch, 1836","Glomeridae","Glomerida","Diplopoda","Arthropoda"
"24","barber",1,"ANI","21","0574","ARG","2000",0,1,"adulte",NA,NA,NA,"taxref","Polyphaga",184631,"Sous-Ordre","Polyphaga ",NA,"Coleoptera","Insecta","Arthropoda"
"25","barber",1,"ANI","21","0574","ARG","2000",0,1,"adulte",NA,"mâle","0,058","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"26","barber",1,"ANI","21","0574","ARG","2000",0,7,"adulte",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"27","barber",1,"ANI","21","0574","ARG","2000",0,4,"adulte",NA,"male",NA,"taxref","Tenuiphantes mengei",233783,"Espèce","Tenuiphantes mengei (Kulczynski, 1887)","Linyphiidae","Araneae","Arachnida","Arthropoda"
"28","barber",1,"ANI","21","0585","ARG","2230",0,4,NA,NA,NA,NA,"taxref","Collembola",184571,"Ordre","Collembola Lubbock, 1870",NA,"Collembola","Entognatha","Arthropoda"
"29","barber",1,"ANI","21","0585","ARG","2230",0,13,"adulte",NA,"Femelle",NA,"taxref","Formicidae",185188,"Famille","Formicidae Latreille, 1809","Formicidae","Hymenoptera","Insecta","Arthropoda"
"30","barber",1,"ANI","21","0585","ARG","2230",0,1,"adulte",NA,"femelle","0,001","taxref","Metallina lampros",8633,"Espèce","Bembidion lampros (Herbst, 1784)","Carabidae","Coleoptera","Insecta","Arthropoda"
"31","barber",1,"ANI","21","0585","ARG","2230",0,1,NA,NA,NA,NA,"taxref","Orthoptera",185375,"Ordre","Orthoptera Latreille, 1810",NA,"Orthoptera","Insecta","Arthropoda"
"32","barber",1,"ANI","21","0585","ARG","2230",0,1,"adulte",NA,"femelle",NA,"taxref","Pardosa blanda",303952,"Espèce","Pardosa blanda (C.L. Koch, 1833)","Lycosidae","Araneae","Arachnida","Arthropoda"
"33","barber",1,"ANI","21","0585","ARG","2230",0,1,"adulte",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"34","barber",1,"ANI","21","0596","ARG","2400",0,1,"larve",NA,NA,NA,"taxref","Carabidae",184615,"Famille","Carabidae Latreille, 1802","Carabidae","Coleoptera","Insecta","Arthropoda"
"35","barber",1,"ANI","21","0596","ARG","2400",0,1,NA,NA,NA,"0,0043","taxref","Chilopoda",185587,"Classe","Chilopoda Latreille, 1817",NA,NA,"Chilopoda","Arthropoda"
"36","barber",1,"ANI","21","0596","ARG","2400",0,14,"adulte",NA,"Femelle",NA,"taxref","Formicidae",185188,"Famille","Formicidae Latreille, 1809","Formicidae","Hymenoptera","Insecta","Arthropoda"
"37","barber",1,"ANI","21","0596","ARG","2400",0,2,"adulte",NA,NA,NA,"taxref","Hymenoptera",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"38","barber",1,"ANI","21","0596","ARG","2400",0,4,"adulte",NA,NA,NA,"taxref","Orthoptera",185375,"Ordre","Orthoptera Latreille, 1810",NA,"Orthoptera","Insecta","Arthropoda"
"39","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,003","taxref","Platyderus depressus",222352,"Espèce","Platyderus depressus (Audinet-Serville, 1821)","Carabidae","Coleoptera","Insecta","Arthropoda"
"40","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,022","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"41","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,035","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"42","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,067","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"43","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,068","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"44","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,069","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"45","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,09","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"46","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,104","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"47","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"femelle","0,114","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"48","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"mâle","0,018","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
"49","barber",1,"ANI","21","0596","ARG","2400",0,1,"adulte",NA,"mâle","0,044","taxref","Pterostichus multipunctatus",222602,"Espèce","Pterostichus multipunctatus (Dejean, 1828)","Carabidae","Coleoptera","Insecta","Arthropoda"
