method;Replicate number;id_sample;gradient;alti;INat;abundance;stade;state;sexe;mass;referential;canonic;id;rankName;referenceName;familyName;orderName;className;phylumName
barber;1;ANI-21-0596;ARG;2400;0;1;NA;NA;NA;0.0043;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0607;BOU;1240;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;1;ANI-21-0618;BOU;1440;0;4;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;1;ANI-21-0651;BOU;2000;0;1;NA;NA;NA;0.0037;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0651;BOU;2000;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;1;ANI-21-0662;CAU;1220;0;1;NA;NA;NA;0.0121;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0662;CAU;1220;0;1;NA;NA;NA;0.0347;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0673;CAU;1400;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;1;ANI-21-0706;CAU;2020;0;4;ad;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;1;ANI-21-0717;CAU;2225;0;1;NA;NA;NA;0.1246;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0772;MOU;2160;0;1;NA;NA;NA;0.1112;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0783;MOU;2355;0;1;NA;NA;NA;0.0029;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0783;MOU;2355;0;1;NA;NA;NA;0.0037;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0827;RIS;2195;0;1;NA;NA;NA;NA;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0849;RIS;2570;0;1;NA;NA;NA;0.0027;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0882;TAN;1420;0;3;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;1;ANI-21-0904;TAN;1890;0;1;NA;NA;NA;0.0048;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0915;TAN;2100;0;1;NA;NA;NA;0.0049;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0959;VCHA;2150;0;1;NA;NA;NA;0.0112;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;1;ANI-21-0959;VCHA;2150;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;1;ANI-22-0012;ARM;1750;1;1;NA;NA;NA;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;1;ANI-22-0232;VER;1800;0;1;mue;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;1;ANI-22-0243;VER;2000;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;1;ANI-22-0254;VTN;1130;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
barber;1;ANI-22-0287;VTN;1675;0;5;ad;NA;NA;NA;taxref;Diplopoda;185607;Classe;Diplopoda de Blainville in Gervais, 1844;NA;NA;Diplopoda;Arthropoda
barber;2;ANI-21-0553;ARG;1620;0;1;NA;NA;hermaphrodite;NA;taxref;Gastropoda;186338;Classe;Gastropoda Cuvier, 1795;NA;NA;Gastropoda;Mollusca
barber;2;ANI-21-0564;ARG;1790;0;1;NA;NA;NA;0.005;taxref;Chilopoda;185587;Classe;Chilopoda Latreille, 1817;NA;NA;Chilopoda;Arthropoda
barber;2;ANI-21-0586;ARG;2230;0;1;larv;NA;NA;NA;taxref;Insecta;184611;Classe;Insecta Linnaeus, 1758;NA;NA;Insecta;Arthropoda
