"","id_sample","method","Replicate.number","gradient","alti","INat","abundance","stade","state","sexe","mass","referential","canonic","id","rankName","referenceName","familyName","orderName","className","phylumName"
"1","ANI-21-0541","barber",1,"ARG","1420",1,1,"ad","","",0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ANI-21-0541","barber",1,"ARG","1420",1,1,"ad","","",0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ANI-21-0541","barber",1,"ARG","1420",1,1,"ad","","",0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ANI-21-0541","barber",1,"ARG","1420",1,1,"ad","","",0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ANI-21-0541","barber",1,"ARG","1420",1,1,"ad","","",0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ANI-21-0552","barber",1,"ARG","1620",1,1,"","","",NA,"taxref","Cicadellidae",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"7","ANI-21-0552","barber",1,"ARG","1620",1,1,"","","",NA,"taxref","Cicadellidae",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"8","ANI-21-0552","barber",1,"ARG","1620",1,1,"","","",NA,"taxref","Cicadellidae",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"9","ANI-21-0552","barber",1,"ARG","1620",1,1,"","","",NA,"taxref","Cicadellidae",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"10","ANI-21-0552","barber",1,"ARG","1620",1,1,"","","",NA,"taxref","Cicadellidae",184992,"Famille","Cicadellidae Latreille, 1802","Cicadellidae","Hemiptera","Insecta","Arthropoda"
"11","ANI-21-0552","barber",1,"ARG","1620",1,2,"juv","","unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ANI-21-0552","barber",1,"ARG","1620",1,2,"juv","","unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ANI-21-0552","barber",1,"ARG","1620",1,2,"juv","","unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ANI-21-0552","barber",1,"ARG","1620",1,2,"juv","","unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ANI-21-0552","barber",1,"ARG","1620",1,2,"juv","","unidentified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","",NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"17","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","",NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"18","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","",NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"19","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","",NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"20","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","",NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"21","ANI-21-0552","barber",1,"ARG","1620",1,1,"larv","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ANI-21-0552","barber",1,"ARG","1620",1,1,"larv","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ANI-21-0552","barber",1,"ARG","1620",1,1,"larv","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ANI-21-0552","barber",1,"ARG","1620",1,1,"larv","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ANI-21-0552","barber",1,"ARG","1620",1,1,"larv","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ANI-21-0552","barber",1,"ARG","1620",1,1,"juv","","",0.005,"taxref","Lumbricidae",183787,"Famille","Lumbricidae Claus, 1876","Lumbricidae","Crassiclitellata","Clitellata","Annelida"
"27","ANI-21-0552","barber",1,"ARG","1620",1,1,"juv","","",0.005,"taxref","Lumbricidae",183787,"Famille","Lumbricidae Claus, 1876","Lumbricidae","Crassiclitellata","Clitellata","Annelida"
"28","ANI-21-0552","barber",1,"ARG","1620",1,1,"juv","","",0.005,"taxref","Lumbricidae",183787,"Famille","Lumbricidae Claus, 1876","Lumbricidae","Crassiclitellata","Clitellata","Annelida"
"29","ANI-21-0552","barber",1,"ARG","1620",1,1,"juv","","",0.005,"taxref","Lumbricidae",183787,"Famille","Lumbricidae Claus, 1876","Lumbricidae","Crassiclitellata","Clitellata","Annelida"
"30","ANI-21-0552","barber",1,"ARG","1620",1,1,"juv","","",0.005,"taxref","Lumbricidae",183787,"Famille","Lumbricidae Claus, 1876","Lumbricidae","Crassiclitellata","Clitellata","Annelida"
"31","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","female",0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","female",0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","female",0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","female",0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ANI-21-0552","barber",1,"ARG","1620",1,1,"ad","","female",0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
