"","method","Replicate number","id_sample","gradient","alti","INat","abundance","stade","state","sexe","mass","referential","canonic","id","rankName","referenceName","familyName","orderName","className","phylumName"
"1","barber",1,"ANI-21-0552","ARG","1620",1,1,"ad",NA,NA,NA,"taxref","Geotrupidae",184752,"Famille","Geotrupidae Latreille, 1802","Geotrupidae","Coleoptera","Insecta","Arthropoda"
"2","barber",1,"ANI-21-0552","ARG","1620",1,1,"ad",NA,"female",0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","barber",1,"ANI-21-0552","ARG","1620",1,1,"ad",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"4","barber",1,"ANI-21-0563","ARG","1790",1,1,"ad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","barber",1,"ANI-21-0563","ARG","1790",1,1,"ad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","barber",1,"ANI-21-0563","ARG","1790",1,1,"ad",NA,NA,NA,"taxref","Hymenoptera",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"7","barber",1,"ANI-21-0563","ARG","1790",1,1,"ad",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"8","barber",1,"ANI-21-0574","ARG","2000",1,1,"ad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","barber",1,"ANI-21-0574","ARG","2000",1,2,"ad",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"10","barber",1,"ANI-21-0574","ARG","2000",1,5,"ad",NA,NA,NA,"taxref","Staphylinidae",184776,"Famille","Staphylinidae Latreille, 1802","Staphylinidae","Coleoptera","Insecta","Arthropoda"
"11","barber",1,"ANI-21-0596","ARG","2400",1,1,"ad",NA,"female",NA,"taxref","Formicidae",185188,"Famille","Formicidae Latreille, 1809","Formicidae","Hymenoptera","Insecta","Arthropoda"
"12","barber",1,"ANI-21-0596","ARG","2400",1,1,"ad",NA,NA,NA,"taxref","Hymenoptera",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"13","barber",1,"ANI-21-0596","ARG","2400",1,1,"ad",NA,NA,NA,"taxref","Hymenoptera",185126,"Ordre","Hymenoptera Linnaeus, 1758",NA,"Hymenoptera","Insecta","Arthropoda"
"14","barber",1,"ANI-21-0596","ARG","2400",1,1,"ad",NA,NA,NA,"taxref","Orthoptera",185375,"Ordre","Orthoptera Latreille, 1810",NA,"Orthoptera","Insecta","Arthropoda"
"15","barber",1,"ANI-21-0596","ARG","2400",1,1,"ad",NA,NA,NA,"taxref","Orthoptera",185375,"Ordre","Orthoptera Latreille, 1810",NA,"Orthoptera","Insecta","Arthropoda"
"16","barber",1,"ANI-21-0596","ARG","2400",1,1,"ad",NA,NA,NA,"taxref","Orthoptera",185375,"Ordre","Orthoptera Latreille, 1810",NA,"Orthoptera","Insecta","Arthropoda"
