"","id_sample","tot"
"1","ANI-21-0541",1
"2","ANI-21-0543",1
"3","ANI-21-0545",1
"4","ANI-21-0596",1
"5","ANI-21-0597",2
"6","ANI-21-0598",1
"7","ANI-21-0599",1
"8","ANI-21-0741",1
"9","ANI-21-0784",1
"10","ANI-21-0800",1
"11","ANI-21-0807",2
"12","ANI-21-0809",2
"13","ANI-21-0820",1
"14","ANI-21-0829",4
"15","ANI-21-0832",2
"16","ANI-21-0833",2
"17","ANI-21-0850",1
"18","ANI-21-0865",2
"19","ANI-21-0885",2
"20","ANI-21-0949",1
"21","ANI-21-0954",1
"22","ANI-21-0959",1
"23","ANI-21-0965",1
"24","ANI-21-0976",1
"25","ANI-21-1005",1
"26","ANI-22-0002",1
"27","ANI-22-0003",1
"28","ANI-22-0004",1
"29","ANI-22-0006",1
"30","ANI-22-0012",1
"31","ANI-22-0013",2
"32","ANI-22-0014",1
"33","ANI-22-0015",1
"34","ANI-22-0017",1
"35","ANI-22-0056",1
"36","ANI-22-0057",2
"37","ANI-22-0070",3
"38","ANI-22-0092",1
"39","ANI-22-0102",16
"40","ANI-22-0113",1
"41","ANI-22-0115",3
"42","ANI-22-0146",32
"43","ANI-22-0147",9
"44","ANI-22-0148",6
"45","ANI-22-0149",25
"46","ANI-22-0181",1
"47","ANI-22-0182",11
"48","ANI-22-0200",4
"49","ANI-22-0221",1
"50","ANI-22-0222",1
"51","ANI-22-0243",1
"52","ANI-22-0254",1
"53","ANI-22-0277",4
"54","ANI-22-0279",9
"55","ANI-22-0281",12
"56","ANI-22-0287",18
"57","ANI-22-0288",19
"58","ANI-22-0289",11
"59","ANI-22-0291",9
"60","ANI-22-0292",5
"61","ANI-22-0298",2
"62","ANI-22-0300",1
