Order	Suborder	Family	SpeciesID	Author	Body_Size	Dispersal_ability	Feeding_guild	Feeding_guild_short	Feeding_mode	Feeding_specialization	Feeding_tissue	Feeding_plant_part	Endophagous_lifestyle	Stratum_use	Stratum_use_short	Remark
Araneae	Labidognatha	Anyphaenidae	Anyphaena accentuata	(Walckenaer, 1802)	6.25	1	c	c	e	NA	NA	NA	NA	t	t	
Araneae	Labidognatha	Araneidae	Aculepeira ceropegia	Walckenaer, 1802	11.00	1	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Araneidae	Agalenatea redii	(Scopoli, 1763)	6.93	0.5	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Araneidae	Araneus diadematus	Clerck, 1757	11.88	1	c	c	e	NA	NA	NA	NA	(h)-t	u	
Araneae	Labidognatha	Araneidae	Araneus marmoreus	Clerck, 1757	10.03	0.75	c	c	e	NA	NA	NA	NA	(h)-t	u	
Araneae	Labidognatha	Araneidae	Araneus quadratus	Clerck, 1757	12.25	1	c	c	e	NA	NA	NA	NA	(h)-t	u	
Araneae	Labidognatha	Araneidae	Araneus sturmi	(Hahn, 1831)	4.63	0.75	c	c	e	NA	NA	NA	NA	t	t	*
Araneae	Labidognatha	Araneidae	Araneus triguttatus	Fabricius, 1775	5.25	0.5	c	c	e	NA	NA	NA	NA	t	t	*
Araneae	Labidognatha	Araneidae	Araniella alpica	(L. Koch, 1869)	6.00	0.75	c	c	e	NA	NA	NA	NA	t	t	*
Araneae	Labidognatha	Araneidae	Araniella cucurbitina	(Clerck, 1757)	5.50	1	c	c	e	NA	NA	NA	NA	(h)-t	u	
Araneae	Labidognatha	Araneidae	Araniella opisthographa	(Kulczynski, 1905)	4.38	0.75	c	c	e	NA	NA	NA	NA	(h)-t	u	
Araneae	Labidognatha	Araneidae	Argiope bruennichi	(Scopoli, 1772)	11.78	1	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Araneidae	Cercidia prominens	(Westring, 1851)	5.38	0.5	c	c	e	NA	NA	NA	NA	(g)-h	u	
Araneae	Labidognatha	Araneidae	Cyclosa conica	(Pallas, 1772)	5.75	0.75	c	c	e	NA	NA	NA	NA	(h)-t	u	
Araneae	Labidognatha	Araneidae	Cyclosa oculata	(Walckenaer, 1802)	5.08	0.75	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Araneidae	Gibbaranea gibbosa	(Walckenaer, 1802)	6.75	0	c	c	e	NA	NA	NA	NA	t	t	
Araneae	Labidognatha	Araneidae	Gibbaranea omoeda	(Thorell, 1870)	9.13	0.5	c	c	e	NA	NA	NA	NA	t	t	*
Araneae	Labidognatha	Araneidae	Hypsosinga albovittata	(Westring, 1851)	4.15	0.5	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Araneidae	Hypsosinga sanguinea	(C.L. Koch, 1844)	3.75	0.75	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Araneidae	Larinioides cornutus	(Clerck, 1757)	10.35	0.75	c	c	e	NA	NA	NA	NA	h-(t)	u	
Araneae	Labidognatha	Araneidae	Mangora acalypha	(Walckenaer, 1802)	4.50	1	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Araneidae	Nuctenea umbratica	(Clerck, 1757)	11.25	1	c	c	e	NA	NA	NA	NA	t	t	*
Araneae	Labidognatha	Araneidae	Singa hamata	(Clerck, 1757)	5.90	0.75	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Clubionidae	Clubiona brevipes	Blackwall, 1841	5.50	0.5	c	c	e	NA	NA	NA	NA	t	t	*
Araneae	Labidognatha	Clubionidae	Clubiona diversa	O. P.-Cambridge, 1862	4.00	0.5	c	c	e	NA	NA	NA	NA	(s)-(g)-h-(t)	u	
Araneae	Labidognatha	Clubionidae	Clubiona leucaspis	Simon, 1932	4.05	0.5	c	c	e	NA	NA	NA	NA	t	t	*
Araneae	Labidognatha	Clubionidae	Clubiona neglecta	O. P.-Cambridge, 1862	6.25	0.75	c	c	e	NA	NA	NA	NA	g-(h)-(t)	u	
Araneae	Labidognatha	Clubionidae	Clubiona reclusa	O. P.-Cambridge, 1863	5.75	0.75	c	c	e	NA	NA	NA	NA	(g)-h	u	
Araneae	Labidognatha	Clubionidae	Clubiona stagnatilis	Kulczynski, 1897	6.25	0.5	c	c	e	NA	NA	NA	NA	h	h	
Araneae	Labidognatha	Dictynidae	Argenna subnigra	(O. P.-Cambridge, 1861)	2.25	0.75	c	c	e	NA	NA	NA	NA	g	g	
Araneae	Labidognatha	Dictynidae	Dictyna pusilla	Thorell, 1856	2.45	0.5	c	c	e	NA	NA	NA	NA	h-(t)	u	
Araneae	Labidognatha	Dictynidae	Lathys humilis	(Blackwall, 1855)	2.20	0.5	c	c	e	NA	NA	NA	NA	t	t	*
Araneae	Labidognatha	Dictynidae	Nigma flavescens	(Walckenaer, 1830)	3.08	0.75	c	c	e	NA	NA	NA	NA	(h)-t	u	*
Araneae	Labidognatha	Gnaphosidae	Micaria pulicaria	(Sundevall, 1831)	3.55	1	c	c	e	NA	NA	NA	NA	g	g	
