id_sample;method;Replicate number;id_plot;INat;Valid Name;abundance;stade;state;sexe;mass
ANI-21-0541;barber;1;ARG_1420;;Notiophilus Dumeril, 1806;1;ad;;;0.003
ANI-21-0552;barber;1;ARG_1620;;Cicadellidae;1;;;;
ANI-21-0552;barber;1;ARG_1620;;Dysderidae;2;juv;;unidentified;
ANI-21-0552;barber;1;ARG_1620;;Geotrupidae;1;ad;;;
ANI-21-0552;barber;1;ARG_1620;;Larves campodÇiformes;1;larv;;;
ANI-21-0552;barber;1;ARG_1620;;Lumbricidae;1;juv;;;0.005
ANI-21-0552;barber;1;ARG_1620;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.089
ANI-21-0552;barber;1;ARG_1620;;Staphylinidae;1;ad;;;
ANI-21-0552;barber;1;ARG_1620;;Tenuiphantes tenebricola (Wider, 1834);1;ad;;female;
ANI-21-0563;barber;1;ARG_1790;;Centromerus sellarius (Simon, 1884);1;ad;;male;
ANI-21-0563;barber;1;ARG_1790;;Collembola;4;;;;
ANI-21-0563;barber;1;ARG_1790;;Cryphoeca silvicola (C.L. Koch, 1834);2;ad;;female;
ANI-21-0563;barber;1;ARG_1790;;Cryphoeca silvicola (C.L. Koch, 1834);2;ad;;male;
ANI-21-0563;barber;1;ARG_1790;;Formicidae;2;ad;;female;
ANI-21-0563;barber;1;ARG_1790;;Hymenoptera;1;ad;;;
ANI-21-0563;barber;1;ARG_1790;;Lepthyphantes nodifer Simon, 1884;1;ad;;female;
ANI-21-0563;barber;1;ARG_1790;;Polyphaga;3;ad;;;
ANI-21-0563;barber;1;ARG_1790;;Staphylinidae;1;ad;;;
ANI-21-0563;barber;1;ARG_1790;;Tipulidae;1;larv;;;
ANI-21-0574;barber;1;ARG_2000;;Collembola;1;;;;
ANI-21-0574;barber;1;ARG_2000;;Cybaeidae;1;juv;;unidentified;
ANI-21-0574;barber;1;ARG_2000;;Formicidae;18;ad;;female;
ANI-21-0574;barber;1;ARG_2000;;Glomeris transalpina C.L. Koch, 1836;1;ad;;male;0.0336
ANI-21-0574;barber;1;ARG_2000;;Polyphaga;1;ad;;;
ANI-21-0574;barber;1;ARG_2000;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;male;0.058
ANI-21-0574;barber;1;ARG_2000;;Staphylinidae;7;ad;;;
ANI-21-0574;barber;1;ARG_2000;;Tenuiphantes mengei (Kulczynski, 1887);4;ad;;male;
ANI-21-0585;barber;1;ARG_2230;;Collembola;4;;;;
ANI-21-0585;barber;1;ARG_2230;;Formicidae;13;ad;;female;
ANI-21-0585;barber;1;ARG_2230;;Metallina (Metallina) lampros (Herbst, 1784);1;ad;;female;0.001
ANI-21-0585;barber;1;ARG_2230;;Orthoptera;1;;;;
ANI-21-0585;barber;1;ARG_2230;;Pardosa blanda (C.L. Koch, 1833);1;ad;;female;
ANI-21-0585;barber;1;ARG_2230;;Staphylinidae;1;ad;;;
ANI-21-0596;barber;1;ARG_2400;;Carabidae;1;larv;;unidentified;
ANI-21-0596;barber;1;ARG_2400;;Chilopoda;1;;;;0.0043
ANI-21-0596;barber;1;ARG_2400;;Formicidae;14;ad;;female;
ANI-21-0596;barber;1;ARG_2400;;Hymenoptera;2;ad;;;
ANI-21-0596;barber;1;ARG_2400;;Orthoptera;4;ad;;;
ANI-21-0596;barber;1;ARG_2400;;Platyderus (Platyderus) depressus (Audinet-Serville, 1821);1;ad;;female;0.003
ANI-21-0596;barber;1;ARG_2400;;Pterostichus (Oreophilus) multipunctatus (Dejean, 1828);1;ad;;female;0.022
