"idsite","site","idplot","codeplot","num_horizon","code_anasol","valeur","unite"
2,"Argentière",31,"ARG_1420",1,"Aluminium (Al)",NA,"cmol+/kg"
2,"Argentière",31,"ARG_1420",2,"Aluminium (Al)",0.0683,"cmol+/kg"
2,"Argentière",31,"ARG_1420",3,"Aluminium (Al)",0.0105,"cmol+/kg"
2,"Argentière",31,"ARG_1420",4,"Aluminium (Al)",0.0093,"cmol+/kg"
2,"Argentière",31,"ARG_1420",1,"Argile (< 2 µm)",127,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Argile (< 2 µm)",88,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Argile (< 2 µm)",77,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Argile (< 2 µm)",47,"g/kg"
2,"Argentière",31,"ARG_1420",1,"Azote (N) total",3.48,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Azote (N) total",0.73,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Azote (N) total",0.48,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Azote (N) total",0.3,"g/kg"
2,"Argentière",31,"ARG_1420",1,"Broyage (< 250 µm)",1,"boolean"
2,"Argentière",31,"ARG_1420",2,"Broyage (< 250 µm)",1,"boolean"
2,"Argentière",31,"ARG_1420",3,"Broyage (< 250 µm)",1,"boolean"
2,"Argentière",31,"ARG_1420",4,"Broyage (< 250 µm)",1,"boolean"
2,"Argentière",31,"ARG_1420",1,"Calcaire (CaCO3) total",NA,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Calcaire (CaCO3) total",NA,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Calcaire (CaCO3) total",NA,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Calcaire (CaCO3) total",NA,"g/kg"
2,"Argentière",31,"ARG_1420",1,"Calcium (Ca)",NA,"cmol+/kg"
2,"Argentière",31,"ARG_1420",2,"Calcium (Ca)",0.0853,"cmol+/kg"
2,"Argentière",31,"ARG_1420",3,"Calcium (Ca)",0.0418,"cmol+/kg"
2,"Argentière",31,"ARG_1420",4,"Calcium (Ca)",0.0674,"cmol+/kg"
2,"Argentière",31,"ARG_1420",1,"Carbone (C) organique",75.5,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Carbone (C) organique",14.6,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Carbone (C) organique",7.21,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Carbone (C) organique",4.1,"g/kg"
2,"Argentière",31,"ARG_1420",1,"CEC cobaltihexamine",NA,"cmol+/kg"
2,"Argentière",31,"ARG_1420",2,"CEC cobaltihexamine",3.7,"cmol+/kg"
2,"Argentière",31,"ARG_1420",3,"CEC cobaltihexamine",1.6,"cmol+/kg"
2,"Argentière",31,"ARG_1420",4,"CEC cobaltihexamine",1.16,"cmol+/kg"
2,"Argentière",31,"ARG_1420",1,"C/N",21.7,"ratio"
2,"Argentière",31,"ARG_1420",2,"C/N",20,"ratio"
2,"Argentière",31,"ARG_1420",3,"C/N",15,"ratio"
2,"Argentière",31,"ARG_1420",4,"C/N",13.7,"ratio"
2,"Argentière",31,"ARG_1420",1,"Fer (Fe)",NA,"cmol+/kg"
2,"Argentière",31,"ARG_1420",2,"Fer (Fe)",0.0683,"cmol+/kg"
2,"Argentière",31,"ARG_1420",3,"Fer (Fe)",0.0105,"cmol+/kg"
2,"Argentière",31,"ARG_1420",4,"Fer (Fe)",0.0093,"cmol+/kg"
2,"Argentière",31,"ARG_1420",1,"Limons fins (2/20 µm)",227,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Limons fins (2/20 µm)",245,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Limons fins (2/20 µm)",255,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Limons fins (2/20 µm)",235,"g/kg"
2,"Argentière",31,"ARG_1420",1,"Limons grossiers (20/50 µm)",198,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Limons grossiers (20/50 µm)",182,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Limons grossiers (20/50 µm)",185,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Limons grossiers (20/50 µm)",172,"g/kg"
2,"Argentière",31,"ARG_1420",1,"Magnésium (Mg)",NA,"cmol+/kg"
2,"Argentière",31,"ARG_1420",2,"Magnésium (Mg)",0.0724,"cmol+/kg"
2,"Argentière",31,"ARG_1420",3,"Magnésium (Mg)",0.0828,"cmol+/kg"
2,"Argentière",31,"ARG_1420",4,"Magnésium (Mg)",0.146,"cmol+/kg"
2,"Argentière",31,"ARG_1420",1,"Manganèse (Mn)",NA,"cmol+/kg"
2,"Argentière",31,"ARG_1420",2,"Manganèse (Mn)",0.0683,"cmol+/kg"
2,"Argentière",31,"ARG_1420",3,"Manganèse (Mn)",0.0105,"cmol+/kg"
2,"Argentière",31,"ARG_1420",4,"Manganèse (Mn)",0.0093,"cmol+/kg"
2,"Argentière",31,"ARG_1420",1,"Matiere organique",131,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Matiere organique",25.3,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Matiere organique",12.5,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Matiere organique",7.09,"g/kg"
2,"Argentière",31,"ARG_1420",1,"pH",2.86,"Pas d'unité"
2,"Argentière",31,"ARG_1420",1,"pH",3.91,"Pas d'unité"
2,"Argentière",31,"ARG_1420",2,"pH",3.28,"Pas d'unité"
2,"Argentière",31,"ARG_1420",2,"pH",4.3,"Pas d'unité"
2,"Argentière",31,"ARG_1420",3,"pH",3.66,"Pas d'unité"
2,"Argentière",31,"ARG_1420",3,"pH",4.55,"Pas d'unité"
2,"Argentière",31,"ARG_1420",4,"pH",3.81,"Pas d'unité"
2,"Argentière",31,"ARG_1420",4,"pH",4.76,"Pas d'unité"
2,"Argentière",31,"ARG_1420",1,"Phosphore (P2O5)",0.093,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Phosphore (P2O5)",0.027,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Phosphore (P2O5)",0.018,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Phosphore (P2O5)",0.046,"g/kg"
2,"Argentière",31,"ARG_1420",1,"Potassium (K)",NA,"cmol+/kg"
2,"Argentière",31,"ARG_1420",2,"Potassium (K)",0.0809,"cmol+/kg"
2,"Argentière",31,"ARG_1420",3,"Potassium (K)",0.0712,"cmol+/kg"
2,"Argentière",31,"ARG_1420",4,"Potassium (K)",0.0595,"cmol+/kg"
2,"Argentière",31,"ARG_1420",1,"Préparation",1,"boolean"
2,"Argentière",31,"ARG_1420",2,"Préparation",1,"boolean"
2,"Argentière",31,"ARG_1420",3,"Préparation",1,"boolean"
2,"Argentière",31,"ARG_1420",4,"Préparation",1,"boolean"
2,"Argentière",31,"ARG_1420",1,"Sables fins (50/200 µm)",244,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Sables fins (50/200 µm)",191,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Sables fins (50/200 µm)",186,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Sables fins (50/200 µm)",162,"g/kg"
2,"Argentière",31,"ARG_1420",1,"Sables grossiers (200/2000 µm)",204,"g/kg"
2,"Argentière",31,"ARG_1420",2,"Sables grossiers (200/2000 µm)",294,"g/kg"
2,"Argentière",31,"ARG_1420",3,"Sables grossiers (200/2000 µm)",297,"g/kg"
2,"Argentière",31,"ARG_1420",4,"Sables grossiers (200/2000 µm)",384,"g/kg"
2,"Argentière",31,"ARG_1420",1,"Sodium (Na)",NA,"cmol+/kg"
2,"Argentière",31,"ARG_1420",2,"Sodium (Na)",0.0099,"cmol+/kg"
2,"Argentière",31,"ARG_1420",3,"Sodium (Na)",0.0094,"cmol+/kg"
2,"Argentière",31,"ARG_1420",4,"Sodium (Na)",0.0115,"cmol+/kg"
2,"Argentière",31,"ARG_1420",1,"Traitement Carbone",NA,"Modalité qualitative"
2,"Argentière",31,"ARG_1420",2,"Traitement Carbone",NA,"Modalité qualitative"
2,"Argentière",31,"ARG_1420",3,"Traitement Carbone",NA,"Modalité qualitative"
2,"Argentière",31,"ARG_1420",4,"Traitement Carbone",NA,"Modalité qualitative"
2,"Argentière",32,"ARG_1620",1,"Aluminium (Al)",0.214,"cmol+/kg"
2,"Argentière",32,"ARG_1620",2,"Aluminium (Al)",0.0132,"cmol+/kg"
2,"Argentière",32,"ARG_1620",3,"Aluminium (Al)",0.0126,"cmol+/kg"
2,"Argentière",32,"ARG_1620",1,"Argile (< 2 µm)",114,"g/kg"
2,"Argentière",32,"ARG_1620",2,"Argile (< 2 µm)",74,"g/kg"
2,"Argentière",32,"ARG_1620",3,"Argile (< 2 µm)",57,"g/kg"
2,"Argentière",32,"ARG_1620",1,"Azote (N) total",2.87,"g/kg"
2,"Argentière",32,"ARG_1620",2,"Azote (N) total",0.52,"g/kg"
2,"Argentière",32,"ARG_1620",3,"Azote (N) total",0.35,"g/kg"
2,"Argentière",32,"ARG_1620",1,"Broyage (< 250 µm)",1,"boolean"
2,"Argentière",32,"ARG_1620",2,"Broyage (< 250 µm)",1,"boolean"
2,"Argentière",32,"ARG_1620",3,"Broyage (< 250 µm)",1,"boolean"
2,"Argentière",32,"ARG_1620",1,"Calcaire (CaCO3) total",NA,"g/kg"
2,"Argentière",32,"ARG_1620",2,"Calcaire (CaCO3) total",NA,"g/kg"
2,"Argentière",32,"ARG_1620",3,"Calcaire (CaCO3) total",NA,"g/kg"
2,"Argentière",32,"ARG_1620",1,"Calcium (Ca)",2.26,"cmol+/kg"
2,"Argentière",32,"ARG_1620",2,"Calcium (Ca)",0.064,"cmol+/kg"
2,"Argentière",32,"ARG_1620",3,"Calcium (Ca)",0.04,"cmol+/kg"
2,"Argentière",32,"ARG_1620",1,"Carbone (C) organique",63.5,"g/kg"
2,"Argentière",32,"ARG_1620",2,"Carbone (C) organique",8.49,"g/kg"
2,"Argentière",32,"ARG_1620",3,"Carbone (C) organique",5.51,"g/kg"
2,"Argentière",32,"ARG_1620",1,"CEC cobaltihexamine",9.04,"cmol+/kg"
2,"Argentière",32,"ARG_1620",2,"CEC cobaltihexamine",2.31,"cmol+/kg"
2,"Argentière",32,"ARG_1620",3,"CEC cobaltihexamine",NA,"cmol+/kg"
2,"Argentière",32,"ARG_1620",1,"C/N",22.1,"ratio"
2,"Argentière",32,"ARG_1620",2,"C/N",16.3,"ratio"
2,"Argentière",32,"ARG_1620",3,"C/N",15.7,"ratio"
2,"Argentière",32,"ARG_1620",1,"Fer (Fe)",0.214,"cmol+/kg"
2,"Argentière",32,"ARG_1620",2,"Fer (Fe)",0.0132,"cmol+/kg"
2,"Argentière",32,"ARG_1620",3,"Fer (Fe)",0.0126,"cmol+/kg"
2,"Argentière",32,"ARG_1620",1,"Limons fins (2/20 µm)",242,"g/kg"
2,"Argentière",32,"ARG_1620",2,"Limons fins (2/20 µm)",252,"g/kg"
2,"Argentière",32,"ARG_1620",3,"Limons fins (2/20 µm)",236,"g/kg"
2,"Argentière",32,"ARG_1620",1,"Limons grossiers (20/50 µm)",190,"g/kg"
2,"Argentière",32,"ARG_1620",2,"Limons grossiers (20/50 µm)",190,"g/kg"
2,"Argentière",32,"ARG_1620",3,"Limons grossiers (20/50 µm)",186,"g/kg"
2,"Argentière",32,"ARG_1620",1,"Magnésium (Mg)",0.886,"cmol+/kg"
