"idsite","site","idplot","codeplot","sample_label","type","code_anasol","value","unite","date"
2,"Argentière",31,"ARG_1420","M17_001","LIT","Carbon_prct _ 2mm",25.4168872833251,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","EEA Leucine aminopeptidase (LAP) ",113.66,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",809.79,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","EEA Phosphatase (PHOS)",6228.62,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","EEA α-Glucosidase (AG)",15.35,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","EEA β-D-cellubiosidase (CB) ",0,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","EEA β-Glucosidase (BG)",715.93,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","EEA β-Xylosidase (XYL) ",336.68,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","MO_2mm",43.7238493723849,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","MO_5.6mm",50,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","Nitrogen_prct _ 2mm",0.886320412158966,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_001","LIT","pH - H2O 1:4 _ 2mm",3.86,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","Carbon_prct _ 2mm",11.5347452163696,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","EEA Leucine aminopeptidase (LAP) ",99.38,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",1669.34,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","EEA Phosphatase (PHOS)",6079.91,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","EEA α-Glucosidase (AG)",29.55,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","EEA β-D-cellubiosidase (CB) ",79.52,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","EEA β-Glucosidase (BG)",1232.64,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","EEA β-Xylosidase (XYL) ",295.57,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","MO_2mm",22.633744855967,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","MO_5.6mm",35.9550561797753,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","Nitrogen_prct _ 2mm",0.4681755900383,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_002","LIT","pH - H2O 1:4 _ 2mm",4,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","Carbon_prct _ 2mm",15.8187189102172,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","EEA Leucine aminopeptidase (LAP) ",62.97,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","EEA N-acetyl-β-Glucosaminidase (NAG)",1033.08,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","EEA Phosphatase (PHOS)",5454.25,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","EEA α-Glucosidase (AG)",106.39,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","EEA β-D-cellubiosidase (CB) ",270.97,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","EEA β-Glucosidase (BG)",737.39,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","EEA β-Xylosidase (XYL) ",504.31,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","MO_2mm",35.2083333333333,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","MO_5.6mm",26.9972451790634,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","Nitrogen_prct _ 2mm",0.546365797519683,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_003","LIT","pH - H2O 1:4 _ 2mm",3.87,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","Carbon_prct _ 2mm",3.95458817481994,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","EEA Leucine aminopeptidase (LAP) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",13.42,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","EEA Phosphatase (PHOS)",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","EEA α-Glucosidase (AG)",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","EEA β-D-cellubiosidase (CB) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","EEA β-Glucosidase (BG)",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","EEA β-Xylosidase (XYL) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","MO_2mm",8.75763747454175,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","MO_5.6mm",7.04225352112678,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","Nitrogen_prct _ 2mm",0.166210144758224,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_004","SOL","pH - H2O 1:4 _ 2mm",4.1,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","Carbon_prct _ 2mm",2.95254302024841,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","EEA Leucine aminopeptidase (LAP) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",107.81,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","EEA Phosphatase (PHOS)",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","EEA α-Glucosidase (AG)",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","EEA β-D-cellubiosidase (CB) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","EEA β-Glucosidase (BG)",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","EEA β-Xylosidase (XYL) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","MO_2mm",6.72097759674131,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","MO_5.6mm",6.41330166270791,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","Nitrogen_prct _ 2mm",0.143876314163208,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_005","SOL","pH - H2O 1:4 _ 2mm",4.21,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","Carbon_prct _ 2mm",3.18730688095092,"ratio","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","EEA Leucine aminopeptidase (LAP) ",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","EEA N-acetyl-β-Glucosaminidase (NAG)",175.98,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","EEA Phosphatase (PHOS)",NA,"","2017-09-07"
2,"Argentière",31,"ARG_1420","M17_006","SOL","EEA α-Glucosidase (AG)",NA,"","2017-09-07"
