id_plot,Milieu,Alt,X_L93,Y_L93
ARG_1420,Milieu_forestier,1420,1004705.5029500,6550296.5325300
ARG_1620,Milieu_forestier,1620,1004900.5364300,6550484.0602300
ARG_1790,Milieu_ouvert,1790,1005186.5124500,6550607.2587200
ARG_2000,Milieu_ouvert,2000,1005537.1418500,6550669.6059200
ARG_2230,Milieu_ouvert,2230,1006146.7069900,6550371.2995700
ARG_2400,Milieu_ouvert,2400,1006190.0007800,6550578.3381200
ARM_1520,Milieu_ouvert,1520,950927.5467850,6507770.8787000
ARM_1750,Milieu_ouvert,1750,951561.8551370,6508062.6040900
ARM_1980,Milieu_ouvert,1980,951892.9824210,6508371.7533600
ARM_2140,Milieu_ouvert,2140,952123.3830870,6508278.4449200
CAU_1220,Milieu_forestier,1220,444918.5240890,6201148.9820600
CAU_1400,Milieu_forestier,1400,443974.4601690,6200296.6836700
CAU_1630,Milieu_forestier,1630,440832.0411110,6199182.9655800
CAU_1800,Milieu_ouvert,1800,439361.0334270,6196874.6329800
CAU_2020,Milieu_ouvert,2020,437576.3098350,6196191.4987300
CAU_2225,Milieu_ouvert,2225,437014.4515190,6196018.3463000
CAU_2445,Milieu_ouvert,2445,436078.8672860,6195810.4685500
CAU_2650,Milieu_ouvert,2650,434972.7077160,6195847.0192200
VCHA_1910,Milieu_forestier,1910,951542.2640000,6405258.6030000
VCHA_2150,Milieu_ouvert,2150,951878.7400760,6405882.6525700
VCHA_2330,Milieu_ouvert,2330,952017.7029770,6406424.1250200
VCHA_2510,Milieu_ouvert,2510,952290.0605210,6407310.9579300
VCHA_2760,Milieu_ouvert,2760,952878.9846550,6408212.9737800
VCHA_2940,Milieu_ouvert,2940,952592.1114320,6408612.6799200
VCHA_3160,Milieu_ouvert,3160,952519.4241470,6409154.2276900
BOU_1240,Milieu_forestier,1240,943562.8979220,6475891.8406100
BOU_1440,Milieu_forestier,1440,943567.5881260,6475047.8422700
BOU_1620,Milieu_forestier,1620,943569.1282570,6474224.8914600
BOU_1830,Milieu_ouvert,1830,943814.9467160,6473521.6003600
BOU_2000,Milieu_ouvert,2000,944204.7586580,6473189.6079500
MOU_1810,Milieu_ouvert,1810,1019961.0659900,6345679.7194100
MOU_1940,Milieu_ouvert,1940,1019109.8016800,6345751.7507600
MOU_2160,Milieu_ouvert,2160,1018150.2277000,6346240.6073700
MOU_2355,Milieu_ouvert,2355,1017625.1888900,6346462.2285700
MOU_2470,Milieu_ouvert,2470,1017369.2204100,6346829.2447500
MOU_2720,Milieu_ouvert,2720,1016873.3262800,6346902.7681100
PEC_0962,Milieu_forestier,962,950418.9330850,6509868.0999400
PEC_1152,Milieu_forestier,1152,950649.5344470,6509688.5555800
PEC_1375,Milieu_forestier,1375,950692.7092760,6509390.7831100
PEC_1578,Milieu_forestier,1578,950609.1279370,6508935.6849700
RIS_1900,Milieu_forestier,1900,1016410.9285000,6413181.4883000
RIS_2195,Milieu_ouvert,2195,1019971.6091300,6408717.8677600
RIS_2340,Milieu_ouvert,2340,1020061.7448600,6409257.5700300
RIS_2570,Milieu_ouvert,2570,1020901.7007900,6409349.7146100
RIS_2770,Milieu_ouvert,2770,1021456.7186800,6409727.6024200
RIS_2890,Milieu_ouvert,2890,1021715.1524400,6409869.9265600
MSB_1370,Milieu_forestier,1370,601627.2215770,6194000.7318500
MSB_1420,Milieu_forestier,1420,601025.0474960,6193730.8739800
MSB_1600,Milieu_forestier,1600,600393.3008400,6193393.9038400
MSB_1890,Milieu_ouvert,1890,2593207.34,6254466.38
MSB_2020,Milieu_ouvert,2000,600313.7526960,6192712.3388500
MSB_2260,Milieu_ouvert,2260,600163.4023240,6192284.3397900
TAN_1420,Milieu_forestier,1420,982103.5209710,6487583.9167500
TAN_1700,Milieu_forestier,1700,981421.0467060,6486512.7991500
TAN_1890,Milieu_ouvert,1890,981909.8972220,6485916.3428600
TAN_2100,Milieu_ouvert,2100,981985.5249190,6485507.9111100
TAN_2300,Milieu_ouvert,2300,981727.1855690,6484725.3636900
TAN_2480,Milieu_ouvert,2480,981873.5958970,6484451.7879700
VAL_1860,Milieu_ouvert,1860,968137.1471290,6452484.9755500
VAL_2050,Milieu_ouvert,2050,967710.0052390,6452994.9420500
VAL_2250,Milieu_ouvert,2250,967289.8450980,6453256.8509000
VAL_2450,Milieu_ouvert,2450,966753.6907010,6453484.0540300
VAL_2715,Milieu_ouvert,2715,965947.9971490,6453882.8231600
VTN_0925,Milieu_forestier,925,878227.4289880,6345232.4743000
VTN_1130,Milieu_forestier,1130,878881.5237970,6345329.2281800
VTN_1340,Milieu_forestier,1340,879377.6643690,6344782.3028000
VTN_1510,Milieu_forestier,1510,879435.0763660,6344470.7200800
VTN_1675,Milieu_forestier,1675,879997.3466130,6344384.5324900
VTN_1860,Milieu_ouvert,1860,882183.8234060,6344491.4531600
VER_1200,Milieu_forestier,1200,2430307.05,6328612.92
VER_1400F,Milieu_forestier,1400,2430883.99,6328021.67
VER_1400P,Milieu_ouvert,1400,2430558.05,6327382.28
VER_1600,Milieu_forestier,1600,2430644.46,6326368.37
VER_1800,Milieu_ouvert,1800,2431641.60,6325135.20
VER_2000,Milieu_ouvert,2000,2431462.62,6324191.63
