"site";"idsite";"idplot";"codeplot";"idtiers";"cd_nom";"lb_nom";"observateur_1";"observateur_2";"date"
Aspe;34;192;ASP_0830;a;999999;aaa - En attente de détermination;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;79783;Acer pseudoplatanus;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;82922;Anthoxanthum odoratum;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;131601;Arenaria montana subsp. montana;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;84458;Asplenium adiantum-nigrum;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;718315;Betonica officinalis subsp. officinalis;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;86301;Brachypodium rupestre;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;88691;Carex montana;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;88905;Carex sylvatica;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;89928;Cephalanthera rubra;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;92606;Corylus avellana;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;94164;Cytisus scoparius;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;133652;Dactylis glomerata subsp. glomerata;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;611652;Dioscorea communis;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;134348;Euphorbia amygdaloides subsp. amygdaloides;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;134642;Festuca trichophylla subsp. asperifolia;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;98921;Fraxinus excelsior;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;102115;Hieracium laevigatum;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;610995;Lactuca muralis;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;718371;Laserpitium latifolium subsp. latifolium;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;105214;Lathyrus linifolius;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;137432;Lonicera periclymenum subsp. periclymenum;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;107880;Melica uniflora;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;113511;Pilosella billyana;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;116265;Pteridium aquilinum;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;139584;Quercus petraea subsp. petraea;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;116751;Quercus pubescens;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;124306;Sorbus aria;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;125006;Stellaria holostea;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;126035;Teucrium scorodonia;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;126628;Tilia cordata;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;129305;Vicia sepium;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;129477;Vincetoxicum hirundinaria;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;a;129669;Viola riviniana;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;999999;aaa - En attente de détermination;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;79734;Acer campestre;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;82922;Anthoxanthum odoratum;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;718315;Betonica officinalis subsp. officinalis;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;86301;Brachypodium rupestre;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;92606;Corylus avellana;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;92876;Crataegus monogyna;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;98921;Fraxinus excelsior;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;102115;Hieracium laevigatum;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;105214;Lathyrus linifolius;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;137134;Lathyrus niger subsp. niger;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;115655;Potentilla sterilis;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;620592;Poterium sanguisorba subsp. sanguisorba;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;116265;Pteridium aquilinum;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;139584;Quercus petraea subsp. petraea;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;116751;Quercus pubescens;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;118498;Rosa sempervirens;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;126035;Teucrium scorodonia;Chavagneux;Dupont;2022-06-29
Aspe;34;192;ASP_0830;b;126628;Tilia cordata;Chavagneux;Dupont;2022-06-29
