"","IDsin","codeplot","ADJ","TILE","X_sin","Y_sin","X_wgs","Ywgs","ID","alti","grad","NDVImin","NDVImax"
"1",16401402,"ASP_0830","NO","h17v04",-45984,4768299,-0.56437,42.88229,"h17v04_16401402",830,"ASP",0.527,0.884
"2",16415799,"ASP_1020","NO","h17v04",-46679,4767604,-0.57284,42.87604,"h17v04_16415799",1020,"ASP",0.414,0.882
"3",16434996,"ASP_1200","NO","h17v04",-47374,4766677,-0.58129,42.86771,"h17v04_16434996",1200,"ASP",0.266,0.895
"4",16468592,"ASP_1460","NO","h17v04",-48300,4765055,-0.59252,42.85312,"h17v04_16468592",1460,"ASP",0.287,0.87
"5",16497392,"ASP_1700","NO","h17v04",-48300,4763666,-0.5924,42.84062,"h17v04_16497392",1700,"ASP",0.01,0.711
"6",16506988,"ASP_1870","NO","h17v04",-49227,4763202,-0.60372,42.83646,"h17v04_16506988",1870,"ASP",0.006,0.721
"7",16506985,"ASP_2155","NO","h17v04",-49922,4763202,-0.61225,42.83646,"h17v04_16506985",2155,"ASP",0,0.659
"8",16444759,"CAU_1220","NO","h17v04",-9614,4766214,-0.11796,42.86354,"h17v04_16444759",1220,"CAU",0.208,0.848
"9",16459155,"CAU_1400","NO","h17v04",-10540,4765519,-0.12931,42.85729,"h17v04_16459155",1400,"CAU",0.237,0.779
"10",16487941,"CAU_1630","NO","h17v04",-13784,4764129,-0.16907,42.84479,"h17v04_16487941",1630,"CAU",0.114,0.739
"11",16535935,"CAU_1800","NO","h17v04",-15173,4761812,-0.18605,42.82396,"h17v04_16535935",1800,"CAU",0.105,0.692
"12",16550328,"CAU_2020","NO","h17v04",-16795,4761117,-0.20591,42.81771,"h17v04_16550328",2020,"CAU",0,0.626
"13",16555126,"CAU_2225","NO","h17v04",-17258,4760886,-0.21159,42.81562,"h17v04_16555126",2225,"CAU",0,0.616
"14",16559922,"CAU_2445","NO","h17v04",-18185,4760654,-0.22294,42.81354,"h17v04_16559922",2445,"CAU",0,0.431
"15",16559917,"CAU_2650","NO","h17v04",-19343,4760654,-0.23714,42.81354,"h17v04_16559917",2650,"CAU",0,0.198
"16",16396601,"ASP_0830","YES","h17v04",-46215,4768530,-0.56723,42.88437,"h17v04_16396601",830,"ASP",0.505,0.869
"17",16410998,"ASP_1020","YES","h17v04",-46910,4767835,-0.5757,42.87812,"h17v04_16410998",1020,"ASP",0.218,0.854
"18",16430195,"ASP_1200","YES","h17v04",-47605,4766909,-0.58415,42.86979,"h17v04_16430195",1200,"ASP",0.313,0.873
"19",16463791,"ASP_1460","YES","h17v04",-48532,4765287,-0.59538,42.85521,"h17v04_16463791",1460,"ASP",0.293,0.876
