codeplot,sp_name,date,abundance
ANT_1400,Dryopteris.carthusiana,2016,3
ANT_1400,Dryopteris.expansa,2016,15
ANT_1400,Galium.odoratum,2016,10
ANT_1400,Gymnocarpium.dryopteris,2016,5
ANT_1400,Oreopteris.limbosperma,2016,2
ANT_1400,Oxalis.acetosella,2016,67
ANT_1400,Picea.abies,2016,21
ANT_1400,Poa.nemoralis,2016,1
ANT_1400,Ranunculus.aconitifolius,2016,1
ANT_1400,Ranunculus.lanuginosus,2016,3
ANT_1400,Solidago.virgaurea,2016,1
ANT_1400,Streptopus.amplexifolius,2016,1
ANT_1400,Veronica.urticifolia,2016,7
ANT_1400,Actaea.spicata,2016,1
ANT_1400,Adenostyles.alliariae,2016,2
ANT_1400,Athyrium.filix,2016,2
ANT_1400,Drymochloa.sylvatica,2016,1
ANT_1400,Dryopteris.dilatata,2016,1
ANT_1400,Homogyne.alpina,2016,2
ANT_1400,Lamium.galeobdolon,2016,1
ANT_1400,Petasites.albus,2016,1
ANT_1400,Phegopteris.connectilis,2016,1
ANT_1400,Saxifraga.cuneifolia,2016,1
ANT_1400,Actaea.spicata,2020,1
ANT_1400,Drymochloa.sylvatica,2020,3
ANT_1400,Dryopteris.carthusiana,2020,2
ANT_1400,Dryopteris.dilatata,2020,13
ANT_1400,Dryopteris.expansa,2020,3
ANT_1400,Galium.odoratum,2020,3
ANT_1400,Gymnocarpium.dryopteris,2020,13
ANT_1400,Homogyne.alpina,2020,2
ANT_1400,Maianthemum.bifolium,2020,1
ANT_1400,Oxalis.acetosella,2020,35
ANT_1400,Paris.quadrifolia,2020,1
ANT_1400,Petasites.albus,2020,1
ANT_1400,Phegopteris.connectilis,2020,5
ANT_1400,Ranunculus.lanuginosus,2020,2
ANT_1400,Sorbus.aucuparia,2020,4
ANT_1400,Streptopus.amplexifolius,2020,1
ANT_1400,Veronica.urticifolia,2020,14
ANT_1400,Adenostyles.alliariae,2020,1
ANT_1400,Dryopteris.filix,2020,1
ANT_1400,Oreopteris.limbosperma,2020,2
ANT_1400,Picea.abies,2020,3
ANT_1400,Ranunculus.serpens,2020,1
ANT_1610,Acer.pseudoplatanus,2016,1
ANT_1610,Adenostyles.alliariae,2016,15
ANT_1610,Athyrium.filix,2016,4
ANT_1610,Dryopteris.carthusiana,2016,31
ANT_1610,Hieracium.murorum,2016,3
ANT_1610,Lactuca.alpina,2016,11
ANT_1610,Lonicera.nigra,2016,1
ANT_1610,Oxalis.acetosella,2016,105
ANT_1610,Phyteuma.spicatum,2016,1
ANT_1610,Prenanthes.purpurea,2016,69
ANT_1610,Ranunculus.lanuginosus,2016,2
ANT_1610,Solidago.virgaurea,2016,2
ANT_1610,Sorbus.aucuparia,2016,4
ANT_1610,Veronica.urticifolia,2016,20
ANT_1610,Viola.biflora,2016,1
ANT_1610,Acer.pseudoplatanus,2020,1
ANT_1610,Adenostyles.alliariae,2020,12
ANT_1610,Anemone.nemorosa,2020,1
ANT_1610,Athyrium.filix,2020,12
ANT_1610,Cardamine.flexuosa,2020,1
ANT_1610,Dryopteris.dilatata,2020,5
ANT_1610,Dryopteris.expansa,2020,19
ANT_1610,Hieracium.murorum,2020,3
ANT_1610,Imperatoria.ostruthium,2020,1
ANT_1610,Lactuca.alpina,2020,4
ANT_1610,Lonicera.nigra,2020,1
ANT_1610,Oxalis.acetosella,2020,64
ANT_1610,Prenanthes.purpurea,2020,48
ANT_1610,Ranunculus.lanuginosus,2020,8
ANT_1610,Sorbus.aucuparia,2020,5
ANT_1610,Streptopus.amplexifolius,2020,1
ANT_1610,Veronica.urticifolia,2020,19
ANT_1610,Athyrium.distentifolium,2020,6
ANT_1610,Veratrum.album,2020,2
ANT_1610,Viola.biflora,2020,2
ANT_1750,Acer.pseudoplatanus,2016,2
ANT_1750,Adenostyles.alliariae,2016,55
ANT_1750,Agrostis.schraderiana,2016,57
ANT_1750,Ajuga.reptans,2016,4
ANT_1750,Alchemilla.crinita,2016,75
ANT_1750,Alchemilla.glabra,2016,35
ANT_1750,Astrantia.minor,2016,1
ANT_1750,Avenella.flexuosa,2016,7
ANT_1750,Caltha.palustris,2016,6
ANT_1750,Carex.ferruginea,2016,35
ANT_1750,Chaerophyllum.villarsii,2016,101
ANT_1750,Crepis.pyrenaica,2016,5
ANT_1750,Deschampsia.cespitosa,2016,53
ANT_1750,Elymus.caninus,2016,3
ANT_1750,Epilobium.alpestre,2016,11
ANT_1750,Festuca.heteromalla,2016,40
ANT_1750,Gentiana.purpurea,2016,5
ANT_1750,Geranium.sylvaticum,2016,17
ANT_1750,Heracleum.sphondylium,2016,36
ANT_1750,Hieracium.prenanthoides,2016,3
ANT_1750,Homogyne.alpina,2016,8
ANT_1750,Hypericum.maculatum,2016,59
ANT_1750,Imperatoria.ostruthium,2016,72
ANT_1750,Knautia.dipsacifolia,2016,6
ANT_1750,Lactuca.alpina,2016,27
ANT_1750,Mutellina.adonidifolia,2016,3
ANT_1750,Oxalis.acetosella,2016,1
ANT_1750,Phyteuma.spicatum,2016,2
ANT_1750,Potentilla.erecta,2016,7
ANT_1750,Ranunculus.acris,2016,2
ANT_1750,Rhododendron.ferrugineum,2016,5
ANT_1750,Rubus.idaeus,2016,14
ANT_1750,Rumex.arifolius,2016,115
ANT_1750,Silene.dioica,2016,6
ANT_1750,Silene.vulgaris,2016,11
ANT_1750,Thalictrum.aquilegiifolium,2016,16
ANT_1750,Trollius.europaeus,2016,11
ANT_1750,Vaccinium.myrtillus,2016,33
ANT_1750,Vaccinium.uliginosum,2016,14
ANT_1750,Valeriana.officinalis,2016,3
ANT_1750,Veratrum.album,2016,4
ANT_1750,Veronica.chamaedrys,2016,6
ANT_1750,Viola.biflora,2016,6
ANT_1750,Potentilla.aurea,2016,2
ANT_1750,Solidago.virgaurea,2016,1
ANT_1750,NA.NA,2020,50
ANT_1750,Acer.pseudoplatanus,2020,2
ANT_1750,Adenostyles.alliariae,2020,33
ANT_1750,Agrostis.schraderiana,2020,55
ANT_1750,Ajuga.reptans,2020,10
ANT_1750,Alchemilla.crinita,2020,99
ANT_1750,Alchemilla.glabra,2020,42
ANT_1750,Anthoxanthum.alpinum,2020,2
ANT_1750,Avenella.flexuosa,2020,6
ANT_1750,Carduus.personata,2020,5
ANT_1750,Carex.ferruginea,2020,27
ANT_1750,Chaerophyllum.hirsutum,2020,96
ANT_1750,Deschampsia.cespitosa,2020,129
ANT_1750,Epilobium.alpestre,2020,8
ANT_1750,Epilobium.montanum,2020,11
ANT_1750,Festuca.heteromalla,2020,4
ANT_1750,Festuca.rubra,2020,19
ANT_1750,Gentiana.purpurea,2020,5
ANT_1750,Geranium.sylvaticum,2020,21
ANT_1750,Heracleum.sphondylium,2020,38
ANT_1750,Homogyne.alpina,2020,8
ANT_1750,Hypericum.maculatum,2020,48
ANT_1750,Imperatoria.ostruthium,2020,78
ANT_1750,Lactuca.alpina,2020,28
ANT_1750,Phleum.rhaeticum,2020,22
ANT_1750,Poa.pratensis,2020,1
ANT_1750,Ranunculus.acris,2020,8
ANT_1750,Rhododendron.ferrugineum,2020,4
