site;alti;x;y;date_all;year;month;hour;Tair.mean;HOBO.temp;Rainf
ARG;1420;1004705.5;6550297;2017-06-29T10:00:00Z;2017;6;12:00:00;8.21985778808602;10.944;18.1611956970301
ARG;1420;1004705.5;6550297;2017-06-30T10:00:00Z;2017;6;12:00:00;9.41056213378903;9.965;2.86829653778113
ARG;1420;1004705.5;6550297;2017-07-01T10:00:00Z;2017;7;12:00:00;8.05100402832005;9.965;8.6825731312274
ARG;1420;1004705.5;6550297;2017-07-02T10:00:00Z;2017;7;12:00:00;9.537835693359;9.965;2.21798809943721
ARG;1420;1004705.5;6550297;2017-07-03T10:00:00Z;2017;7;12:00:00;13.101800537109;10.846;0.0437322466495971
ARG;1420;1004705.5;6550297;2017-07-04T10:00:00Z;2017;7;12:00:00;15.015100097656;11.625;0
ARG;1420;1004705.5;6550297;2017-07-05T10:00:00Z;2017;7;12:00:00;17.763970947266;12.69;0.0498413664899999
ARG;1420;1004705.5;6550297;2017-07-06T10:00:00Z;2017;7;12:00:00;19.151132202148;12.98;0
ARG;1420;1004705.5;6550297;2017-07-07T10:00:00Z;2017;7;12:00:00;19.773355102539;13.654;0
ARG;1420;1004705.5;6550297;2017-07-08T10:00:00Z;2017;7;12:00:00;20.3676544189451;13.942;0
ARG;1420;1004705.5;6550297;2017-07-09T10:00:00Z;2017;7;12:00:00;15.737741088867;13.558;5.78659503080416
ARG;1420;1004705.5;6550297;2017-07-10T10:00:00Z;2017;7;12:00:00;15.182336425781;13.269;21.3534208363853
ARG;1420;1004705.5;6550297;2017-07-11T10:00:00Z;2017;7;12:00:00;13.913598632812;12.594;6.14539792877622
ARG;1420;1004705.5;6550297;2017-07-12T10:00:00Z;2017;7;12:00:00;16.550119018555;12.883;0
ARG;1420;1004705.5;6550297;2017-07-13T10:00:00Z;2017;7;12:00:00;15.232659912109;13.365;0
ARG;1420;1004705.5;6550297;2017-07-14T10:00:00Z;2017;7;12:00:00;14.0392852783201;13.076;0
ARG;1420;1004705.5;6550297;2017-07-15T10:00:00Z;2017;7;12:00:00;13.153894042969;12.497;0
ARG;1420;1004705.5;6550297;2017-07-16T10:00:00Z;2017;7;12:00:00;14.267114257812;12.594;0
ARG;1420;1004705.5;6550297;2017-07-17T10:00:00Z;2017;7;12:00:00;16.082604980469;13.173;0.0109240017991397
ARG;1420;1004705.5;6550297;2017-07-18T10:00:00Z;2017;7;12:00:00;18.654122924805;14.038;0
ARG;1420;1004705.5;6550297;2017-07-19T10:00:00Z;2017;7;12:00:00;18.6904083251951;14.038;0
ARG;1420;1004705.5;6550297;2017-07-20T10:00:00Z;2017;7;12:00:00;16.01748046875;13.75;5.33670913428068
ARG;1420;1004705.5;6550297;2017-07-21T10:00:00Z;2017;7;12:00:00;16.19294128418;13.846;17.4061506637372
ARG;1420;1004705.5;6550297;2017-07-22T10:00:00Z;2017;7;12:00:00;15.790628051758;13.076;6.48733342532068
