"site","idsite","idplot","codeplot","idtiers","cd_nom","lb_nom","observateur_1","observateur_2","date"
"Argentière",2,31,"ARG_1420","a",79783,"Acer pseudoplatanus","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",80591,"Agrostis capillaris","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",80988,"Ajuga pyramidalis","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",87501,"Calluna vulgaris","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",90359,"Chaerophyllum villarsii","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",102674,"Hieracium umbrosum","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",137438,"Lotus corniculatus subsp. alpinus","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",109366,"Nardus stricta","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",115813,"Prenanthes purpurea","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",79783,"Acer pseudoplatanus","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",90359,"Chaerophyllum villarsii","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",92606,"Corylus avellana","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",102106,"Hieracium lachenalii","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","b",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",86101,"Blechnum spicant","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",102106,"Hieracium lachenalii","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",115813,"Prenanthes purpurea","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","c",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"Argentière",2,31,"ARG_1420","a",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","a",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","a",90359,"Chaerophyllum villarsii","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","a",193276,"Hieracium","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","a",102235,"Hieracium murorum","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","a",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","a",113432,"Picea abies","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","a",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","a",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",193276,"Hieracium","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",102235,"Hieracium murorum","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",113432,"Picea abies","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",124308,"Sorbus aucuparia","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",86101,"Blechnum spicant","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",92606,"Corylus avellana","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
