"Name.in.Drilobase.2019";"Sub.species.in.Bouch..1972";"Variety.in.Bouch..1972";"Male_pore";"Female_pore";"Clitellum_start";"Clitellum_end";"Puberculum_start";"Puberculum_end";"Heart_type";"Heart_start";"Heart_end";"Morren_gland_start";"Morren_gland_end";"Morren_gland_diverticules";"Crop_start";"Crop_end";"Ovisac";"Oesophagian_gizzard_start";"Oesophagian_gizzard_end";"Typhlosole_start";"Typhlosole_type";"Min_length";"Max_length";"Min_diameter";"Max_diameter";"Min_weight";"Max_weight";"Shape";"Flattening";"Epithelium.flexibility";"Pigmentation";"Body.wall";"Muscle.structure.of.body.wall";"Nephridia"
"Aporrectodea caliginosa alternisetosus (Bouche, 1972) ";"alternisetosus";"";"15";"14";27;35;"31";"33";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"present";"17";"18";"21";"bifide";120;160;"7";"9";500;1800;"cylindrique";"caudal";"souple";"aucune";"‚paisse";"longitudinale penn‚";"ent‚riformes"
"Aporrectodea caliginosa caliginosa (Savigny, 1826)";"caliginosus";"";"15";"14";27;34;"31";"33";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"present";"17";"18";"21";"bifide";60;80;"3,5";"4,5";180;840;"cylindrique";"caudal";"souple";"aucune";"faible";"longitudinale penn‚";"ent‚riformes"
"Aporrectodea caliginosa caliginosa (Savigny, 1826)";"cistercianus";"";"15";"14";28;34;"31";"33";"moniliforme";"6";11;"10";"14";"";"";"";"";"17";"18";"19";"penn‚ ou 2, 3, 5 lamelles";90;180;"4";"5";1950;2650;"subtrap‚zo‹dale";"caudal";"rigide";"iris‚ brun-noir";"mince";"longitudinale penn‚";"ent‚riformes"
"Aporrectodea caliginosa caliginosa (Savigny, 1826)";"nocturnus";"";"15";"14";28;34;"31";"33";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"present";"17";"18";"19";"penn‚ ou 2, 3, 5 lamelles";90;180;"4";"5";1950;2650;"subtrap‚zo‹dale";"caudal";"rigide";"iris‚ brun-noir";"mince";"longitudinale penn‚";"ent‚riformes"
"Aporrectodea caliginosa meridionalis (Bouche, 1972)";"meridionalis";"";"15";"14";27;34;"31";"33";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"present";"17";"18";"22";"penn‚";85;110;"2,5";"4";310;950;"subtrap‚zo‹dale";"caudal";"rigide";"iris‚ brun fonc‚";"moyenne";"longitudinale penn‚";"ent‚riformes"
"Aporrectodea rosea (Savigny, 1826)";"rosea";"";"15";"14";26;31;"29";"30";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"present";"17";"18";"21";"bifide";40;70;"2";"3,5";150;280;"cylindrique";"clitellien";"souple";"rosƒtre";"moyenne";"longitudinale penn‚";"ent‚riformes"
"Allolobophora chlorotica chlorotica (Savigny, 1826)";"chlorotica";"chlorotype";"15";"14";29;37;"30";"36";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"well developed";"17";"18";"20";"bifide (2 lamelles)";50;80;"3";"7";500;700;"cylindrique";"clitellien faible";"souple";"vert";"moyenne";"longitudinale radiaire";"ent‚riformes"
"Allolobophora chlorotica chlorotica (Savigny, 1826)";"chlorotica";"ind‚termin‚e";"15";"14";29;37;"30";"36";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"well developed";"17";"18";"20";"bifide (2 lamelles)";50;80;"3";"7";500;700;"cylindrique";"clitellien faible";"souple";"vert";"moyenne";"longitudinale radiaire";"ent‚riformes"
"Allolobophora chlorotica chlorotica (Savigny, 1826)";"chlorotica";"leucotype";"15";"14";29;37;"30";"36";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"well developed";"17";"18";"20";"bifide (2 lamelles)";50;80;"3";"7";500;700;"cylindrique";"clitellien faible";"souple";"vert";"moyenne";"longitudinale radiaire";"ent‚riformes"
"Allolobophora chlorotica chlorotica (Savigny, 1826)";"waldensis";"";"15";"14";29;37;"30";"36";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"well developed";"17";"18";"20";"bifide (2 lamelles)";50;80;"3";"7";500;700;"cylindrique";"clitellien faible";"souple";"vert";"moyenne";"longitudinale interm‚diaire";"ent‚riformes"
"Allolobophora chlorotica postepheba Bouche, 1972";"postepheba";"leucotype";"15";"14";30;38;"31";"36";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"well developed";"17";"18";"20";"bifide (2 lamelles)";50;80;"3";"7";500;700;"cylindrique";"clitellien faible";"souple";"vert";"moyenne";"longitudinale radiaire";"ent‚riformes"
"Allolobophora chlorotica postepheba Bouche, 1973";"postepheba";"inter";"15";"14";30;38;"31";"36";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"well developed";"17";"18";"20";"bifide (2 lamelles)";50;80;"3";"7";500;700;"cylindrique";"clitellien faible";"souple";"vert";"moyenne";"longitudinale radiaire";"ent‚riformes"
"Allolobophora chlorotica postepheba Bouche, 1974";"postepheba";"chlorotype";"15";"14";30;38;"31";"36";"moniliforme";"6";11;"10";"14";"bilobated in 10";"15";"16";"well developed";"17";"18";"20";"bifide (2 lamelles)";50;80;"3";"7";500;700;"cylindrique";"clitellien faible";"souple";"vert";"moyenne";"longitudinale radiaire";"ent‚riformes"
"Lumbricus terrestris (Savigny, 1826)";"";"";"15";"14";33;37;"32";"36";"moniliforme";"7";11;"10";"14";"bilobated in 10, 11 & 12";"14";"16";"present";"17";"18";"22";"penn‚";130;250;"7";"9";5000;15000;"cylindrique";"clitellien et caudal en fer de lance";"rigide";"rouge pourpre";"‚paisse";"longitudinale penn‚";"ent‚riformes"
"Lumbricus rubellus (Hoffmeister, 1843)";"rubellus";"";"15";"14";27;32;"28";"31";"moniliforme";"7";11;"10";"14";"bilobated in 10, 11 & 12";"15";"16";"present";"16";"17";"20";"penn‚";60;130;"";"";450;2500;"cylindrique";"caudal";"souple";"rouge vineux";"‚paisse/moyenne";"longitudinale penn‚";"ent‚riformes"
"Lumbricus rubellus castaneoides Bouche, 1972";"castanoides";"";"15";"14";27;32;"28";"31";"moniliforme";"7";11;"10";"14";"bilobated in 10, 11 & 12";"15";"16";"present";"16";"17";"20";"penn‚";30;60;"";"";180;380;"cylindrique";"caudal";"souple";"rouge vineux";"moyenne";"longitudinale penn‚";"ent‚riformes"
"Lumbricus rubellus friendoides Bouche 1972";"friendoides";"";"15";"14";26;33;"28";"31";"moniliforme";"7";11;"10";"14";"bilobated in 10, 11 & 12";"15";"16";"present";"16";"17";"20";"penn‚";140;180;"";"";3500;5000;"cylindrique";"caudal";"souple";"rouge vineux";"‚paisse/moyenne";"longitudinale penn‚";"ent‚riformes"
